LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.369359205942601,space,36.02204759884626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11285,2022-11-30_10h22.22.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87891501713894,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.63796075992286,73.63796075992286,73.63796075992286,73.63796075992286,73.63796075992286,73.63796075992286,73.63796075992286,73.63796075992286,73.63796075992286,73.63796075992286,a,1.6989382226020098,10,10,0,75.36329577490687,76.87810603529215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11285,2022-11-30_10h22.22.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87891501713894,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.37852450693026,77.37852450693026,77.37852450693026,77.37852450693026,77.37852450693026,77.37852450693026,77.37852450693026,77.37852450693026,77.37852450693026,77.37852450693026,l,1.2994324769824743,10,20,0,78.69719531014562,80.19807192124426,80.19807192124426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11285,2022-11-30_10h22.22.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87891501713894,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.69803213700652,80.69803213700652,80.69803213700652,80.69803213700652,80.69803213700652,80.69803213700652,80.69803213700652,80.69803213700652,80.69803213700652,80.69803213700652,l,1.4558525690808892,1,21,0,82.18292887229472,83.68445277400315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11285,2022-11-30_10h22.22.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87891501713894,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.18461633007973,84.18461633007973,84.18461633007973,84.18461633007973,84.18461633007973,84.18461633007973,84.18461633007973,84.18461633007973,84.18461633007973,84.18461633007973,l,1.0183676164597273,10,31,0,85.23507145419717,86.73558124527335,86.73558124527335,87.23562447587028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11285,2022-11-30_10h22.22.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87891501713894,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.23562447587028,87.23562447587028,87.23562447587028,87.23562447587028,87.23562447587028,87.23562447587028,87.23562447587028,87.23562447587028,87.23562447587028,87.23562447587028,l,1.230357120744884,10,41,0,88.48787635983899,89.98861690796912,89.98861690796912,90.488639049232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11285,2022-11-30_10h22.22.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87891501713894,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.488639049232,90.488639049232,90.488639049232,90.488639049232,90.488639049232,90.488639049232,90.488639049232,90.488639049232,90.488639049232,90.488639049232,a,1.3183231060393155,10,51,0,91.83932860428467,93.34161670785397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11285,2022-11-30_10h22.22.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87891501713894,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.84172871522605,93.84172871522605,93.84172871522605,93.84172871522605,93.84172871522605,93.84172871522605,93.84172871522605,93.84172871522605,93.84172871522605,93.84172871522605,a,1.2287182337604463,1,52,0,95.09299583313987,96.5926852109842,,97.09274445427582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11285,2022-11-30_10h22.22.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87891501713894,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.09274445427582,97.09274445427582,97.09274445427582,97.09274445427582,97.09274445427582,97.09274445427582,97.09274445427582,97.09274445427582,97.09274445427582,97.09274445427582,a,0.812526139896363,10,62,0,97.92931361496449,99.42891467921436,99.42891467921436,99.92900800984353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11285,2022-11-30_10h22.22.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87891501713894,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.92900800984353,99.92900800984353,99.92900800984353,99.92900800984353,99.92900800984353,99.92900800984353,99.92900800984353,99.92900800984353,99.92900800984353,99.92900800984353,a,0.6871698019094765,10,72,0,100.64597058203071,102.14652887824923,102.14652887824923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11285,2022-11-30_10h22.22.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87891501713894,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,9,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.64661756111309,102.64661756111309,102.64661756111309,102.64661756111309,102.64661756111309,102.64661756111309,102.64661756111309,102.64661756111309,102.64661756111309,102.64661756111309,l,0.8384021045640111,1,73,0,103.51658545387909,105.01619691494852,105.01619691494852,105.51621090900153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11285,2022-11-30_10h22.22.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87891501713894,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.51621090900153,105.51621090900153,105.51621090900153,105.51621090900153,105.51621090900153,105.51621090900153,105.51621090900153,105.51621090900153,105.51621090900153,105.51621090900153,l,2.931164724752307,10,83,0,108.47008675988764,109.96986948885024,109.96986948885024,110.46993583114818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11285,2022-11-30_10h22.22.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87891501713894,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.46993583114818,110.46993583114818,110.46993583114818,110.46993583114818,110.46993583114818,110.46993583114818,110.46993583114818,110.46993583114818,110.46993583114818,110.46993583114818,a,3.0067502977326512,1,84,0,113.5069741262123,115.00668729515746,,115.50695195421576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11285,2022-11-30_10h22.22.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87891501713894,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.50695195421576,115.50695195421576,115.50695195421576,115.50695195421576,115.50695195421576,115.50695195421576,115.50695195421576,115.50695195421576,115.50695195421576,115.50695195421576,a,0.8157448749989271,10,94,0,116.34154976019636,117.84286645008251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11285,2022-11-30_10h22.22.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87891501713894,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,1,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.34286284819245,118.34286284819245,118.34286284819245,118.34286284819245,118.34286284819245,118.34286284819245,118.34286284819245,118.34286284819245,118.34286284819245,118.34286284819245,l,1.3889228557236493,1,95,0,119.76119903707877,121.26055952021852,121.26055952021852,121.76102667301893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11285,2022-11-30_10h22.22.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87891501713894,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,2,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.76102667301893,121.76102667301893,121.76102667301893,121.76102667301893,121.76102667301893,121.76102667301893,121.76102667301893,121.76102667301893,121.76102667301893,121.76102667301893,a,1.6838259086944163,1,96,0,123.46330373594537,124.96396759198979,124.96396759198979,125.46410565124825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11285,2022-11-30_10h22.22.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87891501713894,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,3,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.46410565124825,125.46410565124825,125.46410565124825,125.46410565124825,125.46410565124825,125.46410565124825,125.46410565124825,125.46410565124825,125.46410565124825,125.46410565124825,l,0.7820600150153041,10,106,0,126.265221263282,127.76998686697334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11285,2022-11-30_10h22.22.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87891501713894,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,4,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.26700327917933,128.26700327917933,128.26700327917933,128.26700327917933,128.26700327917933,128.26700327917933,128.26700327917933,128.26700327917933,128.26700327917933,128.26700327917933,l,1.499460385646671,1,107,0,129.78508100099862,131.28491970989853,131.28491970989853,131.7848016899079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11285,2022-11-30_10h22.22.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87891501713894,
