LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,prac_fback_text.stopped,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,alt,task,condition,target_resp.keys,rewCond,vts_fback.started,target_resp.rt,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.344731708988547,space,15.842890936997719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11919,2022-10-31_10h45.34.358,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.866688873590654,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.073200049984735,60.073200049984735,60.073200049984735,60.073200049984735,60.073200049984735,60.073200049984735,60.073200049984735,60.073200049984735,60.073200049984735,60.073200049984735,a,1.386130228987895,1,1,0,61.4913246880169,62.99296847800724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11919,2022-10-31_10h45.34.358,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.866688873590654,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.493551989027765,63.493551989027765,63.493551989027765,63.493551989027765,63.493551989027765,63.493551989027765,63.493551989027765,63.493551989027765,63.493551989027765,63.493551989027765,a,3.1492002019658685,10,11,0,66.66453133203322,68.16556946700439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11919,2022-10-31_10h45.34.358,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.866688873590654,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6657047420158,68.6657047420158,68.6657047420158,68.6657047420158,68.6657047420158,68.6657047420158,68.6657047420158,68.6657047420158,68.6657047420158,68.6657047420158,l,1.353922476992011,10,21,0,70.05089432001114,71.55252215400105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11919,2022-10-31_10h45.34.358,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.866688873590654,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0530830140342,72.0530830140342,72.0530830140342,72.0530830140342,72.0530830140342,72.0530830140342,72.0530830140342,72.0530830140342,72.0530830140342,72.0530830140342,a,1.0075757770100608,1,22,0,73.0876487980131,74.58911297703162,74.58911297703162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11919,2022-10-31_10h45.34.358,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.866688873590654,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.08966980001424,75.08966980001424,75.08966980001424,75.08966980001424,75.08966980001424,75.08966980001424,75.08966980001424,75.08966980001424,75.08966980001424,75.08966980001424,l,1.4094074360327795,10,32,0,76.524927749997,78.0263922890299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11919,2022-10-31_10h45.34.358,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.866688873590654,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.52705720800441,78.52705720800441,78.52705720800441,78.52705720800441,78.52705720800441,78.52705720800441,78.52705720800441,78.52705720800441,78.52705720800441,78.52705720800441,l,0.9085296079865657,10,42,0,79.4612371440162,80.96328348800307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11919,2022-10-31_10h45.34.358,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.866688873590654,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.46350968698971,81.46350968698971,81.46350968698971,81.46350968698971,81.46350968698971,81.46350968698971,81.46350968698971,81.46350968698971,81.46350968698971,81.46350968698971,a,0.8273216799716465,10,52,0,82.31442832702305,83.81605000200216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11919,2022-10-31_10h45.34.358,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.866688873590654,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.31676397501724,84.31676397501724,84.31676397501724,84.31676397501724,84.31676397501724,84.31676397501724,84.31676397501724,84.31676397501724,84.31676397501724,84.31676397501724,l,1.4148894359823316,1,53,0,85.75160598702496,87.25320279900916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11919,2022-10-31_10h45.34.358,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.866688873590654,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.75371445302153,87.75371445302153,87.75371445302153,87.75371445302153,87.75371445302153,87.75371445302153,87.75371445302153,87.75371445302153,87.75371445302153,87.75371445302153,a,2.250387382984627,1,54,0,90.0229245829978,91.52471623301972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11919,2022-10-31_10h45.34.358,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.866688873590654,
