LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.13033281604294,space,26.270486628985964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12431,2022-10-31_10h44.42.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05725992252821,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.29445348202717,86.29445348202717,86.29445348202717,86.29445348202717,86.29445348202717,86.29445348202717,86.29445348202717,86.29445348202717,86.29445348202717,86.29445348202717,l,1.513069815991912,1,1,0,87.8368624690338,89.33612756599905,89.33612756599905,89.83607271802612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12431,2022-10-31_10h44.42.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05725992252821,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.83607271802612,89.83607271802612,89.83607271802612,89.83607271802612,89.83607271802612,89.83607271802612,89.83607271802612,89.83607271802612,89.83607271802612,89.83607271802612,a,1.6922242699656636,1,2,0,91.55386902601458,,93.05598536803154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12431,2022-10-31_10h44.42.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05725992252821,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.5559986930457,93.5559986930457,93.5559986930457,93.5559986930457,93.5559986930457,93.5559986930457,93.5559986930457,93.5559986930457,93.5559986930457,93.5559986930457,a,1.2920575669850223,1,3,0,94.87329960102215,96.37384766200557,96.37384766200557,96.8737693260191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12431,2022-10-31_10h44.42.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05725992252821,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,3,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.8737693260191,96.8737693260191,96.8737693260191,96.8737693260191,96.8737693260191,96.8737693260191,96.8737693260191,96.8737693260191,96.8737693260191,96.8737693260191,l,0.822554683953058,10,13,0,97.72809997404693,,99.2432982600294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12431,2022-10-31_10h44.42.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05725992252821,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.74361456604674,99.74361456604674,99.74361456604674,99.74361456604674,99.74361456604674,99.74361456604674,99.74361456604674,99.74361456604674,99.74361456604674,99.74361456604674,a,0.9519132219720632,1,14,0,100.72706430702237,,102.22949942102423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12431,2022-10-31_10h44.42.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05725992252821,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.72947661101352,102.72947661101352,102.72947661101352,102.72947661101352,102.72947661101352,102.72947661101352,102.72947661101352,102.72947661101352,102.72947661101352,102.72947661101352,a,0.8310890709981322,10,24,0,103.58024404704338,105.08054826303851,105.08054826303851,105.58072151103988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12431,2022-10-31_10h44.42.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05725992252821,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.58072151103988,105.58072151103988,105.58072151103988,105.58072151103988,105.58072151103988,105.58072151103988,105.58072151103988,105.58072151103988,105.58072151103988,105.58072151103988,l,1.2277013239799999,1,25,0,106.83179044205463,,108.33353879500646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12431,2022-10-31_10h44.42.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05725992252821,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.8339775740169,108.8339775740169,108.8339775740169,108.8339775740169,108.8339775740169,108.8339775740169,108.8339775740169,108.8339775740169,108.8339775740169,108.8339775740169,l,1.1025603839661926,1,26,0,109.96812340902397,,111.46834930201294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12431,2022-10-31_10h44.42.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05725992252821,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,8,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.9685787630151,111.9685787630151,111.9685787630151,111.9685787630151,111.9685787630151,111.9685787630151,111.9685787630151,111.9685787630151,111.9685787630151,111.9685787630151,a,1.2558538199518807,10,36,0,113.25498341600178,114.75481664203107,114.75481664203107,115.25481812504586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12431,2022-10-31_10h44.42.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05725992252821,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,9,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.25481812504586,115.25481812504586,115.25481812504586,115.25481812504586,115.25481812504586,115.25481812504586,115.25481812504586,115.25481812504586,115.25481812504586,115.25481812504586,l,0.4970699969562702,10,46,0,115.77145556401229,,117.27389836701332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12431,2022-10-31_10h44.42.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05725992252821,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.77429905103054,117.77429905103054,117.77429905103054,117.77429905103054,117.77429905103054,117.77429905103054,117.77429905103054,117.77429905103054,117.77429905103054,117.77429905103054,l,0.44171702896710485,10,56,0,118.24077326402767,119.7412341630552,119.7412341630552,120.24147709202953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12431,2022-10-31_10h44.42.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05725992252821,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,11,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.24147709202953,120.24147709202953,120.24147709202953,120.24147709202953,120.24147709202953,120.24147709202953,120.24147709202953,120.24147709202953,120.24147709202953,120.24147709202953,l,1.5267626339918934,1,57,0,121.79329811205389,,123.29447062202962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12431,2022-10-31_10h44.42.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05725992252821,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,0,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.79456132702762,123.79456132702762,123.79456132702762,123.79456132702762,123.79456132702762,123.79456132702762,123.79456132702762,123.79456132702762,123.79456132702762,123.79456132702762,a,0.6288665329338983,10,67,0,124.44588291802211,125.94558070902713,125.94558070902713,126.4457011190243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12431,2022-10-31_10h44.42.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05725992252821,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,1,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.4457011190243,126.4457011190243,126.4457011190243,126.4457011190243,126.4457011190243,126.4457011190243,126.4457011190243,126.4457011190243,126.4457011190243,126.4457011190243,l,0.4270593809778802,1,68,0,126.89638666604878,,128.3980616540066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12431,2022-10-31_10h44.42.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05725992252821,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,2,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.89856948703527,128.89856948703527,128.89856948703527,128.89856948703527,128.89856948703527,128.89856948703527,128.89856948703527,128.89856948703527,128.89856948703527,128.89856948703527,l,0.42906272294931114,10,78,0,129.3489458730328,130.8492565700435,130.8492565700435,131.3492966190097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12431,2022-10-31_10h44.42.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05725992252821,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,3,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.3492966190097,131.3492966190097,131.3492966190097,131.3492966190097,131.3492966190097,131.3492966190097,131.3492966190097,131.3492966190097,131.3492966190097,131.3492966190097,l,0.8990488469717093,1,79,0,132.26845544204116,133.76880637201248,133.76880637201248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12431,2022-10-31_10h44.42.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05725992252821,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,4,16,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.2693765660515,134.2693765660515,134.2693765660515,134.2693765660515,134.2693765660515,134.2693765660515,134.2693765660515,134.2693765660515,134.2693765660515,134.2693765660515,a,1.090609909966588,10,89,0,135.38658412802033,,136.88646633905591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12431,2022-10-31_10h44.42.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05725992252821,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,5,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.38875713403104,137.38875713403104,137.38875713403104,137.38875713403104,137.38875713403104,137.38875713403104,137.38875713403104,137.38875713403104,137.38875713403104,137.38875713403104,a,0.7230508119682781,10,99,0,138.1388741940027,139.63959030405385,139.63959030405385,140.13984902499942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12431,2022-10-31_10h44.42.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05725992252821,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,6,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.13984902499942,140.13984902499942,140.13984902499942,140.13984902499942,140.13984902499942,140.13984902499942,140.13984902499942,140.13984902499942,140.13984902499942,140.13984902499942,a,0.9242810029536486,1,100,0,141.0907822130248,,142.5919280850212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12431,2022-10-31_10h44.42.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05725992252821,
