LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,top_target_prac1.stopped,tgt_fix_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,prac_fback_text.stopped,fix.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936.175408029987,space,16.38494364405051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13676,2022-12-02_14h54.06.036,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93063509894357,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981.9781693349942,981.9781693349942,981.9781693349942,981.9781693349942,981.9781693349942,981.9781693349942,981.9781693349942,981.9781693349942,981.9781693349942,981.9781693349942,a,1.9411116300616413,10,10,0,983.9402595539577,985.4420001769904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13676,2022-12-02_14h54.06.036,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93063509894357,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,985.9425844599609,985.9425844599609,985.9425844599609,985.9425844599609,985.9425844599609,985.9425844599609,985.9425844599609,985.9425844599609,985.9425844599609,985.9425844599609,l,0.9047713790205307,10,20,0,986.8768208599649,988.3786066419561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13676,2022-12-02_14h54.06.036,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93063509894357,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988.8791980789974,988.8791980789974,988.8791980789974,988.8791980789974,988.8791980789974,988.8791980789974,988.8791980789974,988.8791980789974,988.8791980789974,988.8791980789974,a,1.5193260820233263,1,21,0,990.4309130809852,991.9325364019605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13676,2022-12-02_14h54.06.036,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93063509894357,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992.4330028640106,992.4330028640106,992.4330028640106,992.4330028640106,992.4330028640106,992.4330028640106,992.4330028640106,992.4330028640106,992.4330028640106,992.4330028640106,l,3.1196074149920605,1,22,0,995.5696902219788,997.071398094995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13676,2022-12-02_14h54.06.036,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93063509894357,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997.5718129570014,997.5718129570014,997.5718129570014,997.5718129570014,997.5718129570014,997.5718129570014,997.5718129570014,997.5718129570014,997.5718129570014,997.5718129570014,a,1.4440338680287823,10,32,0,999.0406182309962,1000.5419433109928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13676,2022-12-02_14h54.06.036,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93063509894357,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001.0427077049972,1001.0427077049972,1001.0427077049972,1001.0427077049972,1001.0427077049972,1001.0427077049972,1001.0427077049972,1001.0427077049972,1001.0427077049972,1001.0427077049972,a,0.7341219590161927,1,33,0,1001.7933506429545,1003.2951623889967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13676,2022-12-02_14h54.06.036,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93063509894357,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003.7959037839901,1003.7959037839901,1003.7959037839901,1003.7959037839901,1003.7959037839901,1003.7959037839901,1003.7959037839901,1003.7959037839901,1003.7959037839901,1003.7959037839901,a,1.9628337120520882,1,34,0,1005.7812401729752,1007.2828985140077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13676,2022-12-02_14h54.06.036,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93063509894357,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007.7834770419868,1007.7834770419868,1007.7834770419868,1007.7834770419868,1007.7834770419868,1007.7834770419868,1007.7834770419868,1007.7834770419868,1007.7834770419868,1007.7834770419868,l,0.7919781840173528,10,44,0,1008.6008082589833,1010.1027891039848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13676,2022-12-02_14h54.06.036,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93063509894357,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010.6031654310063,1010.6031654310063,1010.6031654310063,1010.6031654310063,1010.6031654310063,1010.6031654310063,1010.6031654310063,1010.6031654310063,1010.6031654310063,1010.6031654310063,a,1.516960266046226,10,54,0,1012.1381524309982,1013.6396924559958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13676,2022-12-02_14h54.06.036,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93063509894357,
