LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,fix.stopped,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1886.4171292129904,space,22.40839364985004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13678,2022-12-02_14h59.49.142,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.329188053994905,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929.1472942719702,1929.1472942719702,1929.1472942719702,1929.1472942719702,1929.1472942719702,1929.1472942719702,1929.1472942719702,1929.1472942719702,1929.1472942719702,1929.1472942719702,a,1.7722408038098365,10,10,0,1930.9493889790028,1932.4510101319756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13678,2022-12-02_14h59.49.142,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.329188053994905,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1932.9517230689526,1932.9517230689526,1932.9517230689526,1932.9517230689526,1932.9517230689526,1932.9517230689526,1932.9517230689526,1932.9517230689526,1932.9517230689526,1932.9517230689526,a,1.3542960588820279,10,20,0,1934.33629195299,1935.8379555051215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13678,2022-12-02_14h59.49.142,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.329188053994905,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936.3387566190213,1936.3387566190213,1936.3387566190213,1936.3387566190213,1936.3387566190213,1936.3387566190213,1936.3387566190213,1936.3387566190213,1936.3387566190213,1936.3387566190213,l,1.8600169068668038,1,21,0,1938.2239189171232,1939.725759682944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13678,2022-12-02_14h59.49.142,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.329188053994905,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940.2262363519985,1940.2262363519985,1940.2262363519985,1940.2262363519985,1940.2262363519985,1940.2262363519985,1940.2262363519985,1940.2262363519985,1940.2262363519985,1940.2262363519985,a,2.1699490847531706,10,31,0,1942.428569765063,1943.9303400330245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13678,2022-12-02_14h59.49.142,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.329188053994905,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1944.4308216820937,1944.4308216820937,1944.4308216820937,1944.4308216820937,1944.4308216820937,1944.4308216820937,1944.4308216820937,1944.4308216820937,1944.4308216820937,1944.4308216820937,l,1.6429688760545105,10,41,0,1946.0995553529356,1947.60102490196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13678,2022-12-02_14h59.49.142,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.329188053994905,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948.1016279601026,1948.1016279601026,1948.1016279601026,1948.1016279601026,1948.1016279601026,1948.1016279601026,1948.1016279601026,1948.1016279601026,1948.1016279601026,1948.1016279601026,l,0.9198277979157865,10,51,0,1949.0526566470508,1950.5543319219723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13678,2022-12-02_14h59.49.142,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.329188053994905,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1951.054769420065,1951.054769420065,1951.054769420065,1951.054769420065,1951.054769420065,1951.054769420065,1951.054769420065,1951.054769420065,1951.054769420065,1951.054769420065,l,0.7247111548203975,1,52,0,1951.8057290699799,1953.3072302120272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13678,2022-12-02_14h59.49.142,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.329188053994905,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1953.8078621081077,1953.8078621081077,1953.8078621081077,1953.8078621081077,1953.8078621081077,1953.8078621081077,1953.8078621081077,1953.8078621081077,1953.8078621081077,1953.8078621081077,a,1.1335862199775875,1,53,0,1954.95902117691,1956.4607097390108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13678,2022-12-02_14h59.49.142,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.329188053994905,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956.9612720950972,1956.9612720950972,1956.9612720950972,1956.9612720950972,1956.9612720950972,1956.9612720950972,1956.9612720950972,1956.9612720950972,1956.9612720950972,1956.9612720950972,l,1.3758785407990217,1,54,0,1958.3627981990576,1959.8646607219707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13678,2022-12-02_14h59.49.142,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.329188053994905,
