LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763.3048997349979,space,15.024752472003456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16861,2022-11-21_10h38.16.206,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90117372623791,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809.9679049039842,809.9679049039842,809.9679049039842,809.9679049039842,809.9679049039842,809.9679049039842,809.9679049039842,809.9679049039842,809.9679049039842,809.9679049039842,a,1.1202587070292793,1,1,0,811.1141001639771,812.6158022589807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16861,2022-11-21_10h38.16.206,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90117372623791,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,813.1163656909775,813.1163656909775,813.1163656909775,813.1163656909775,813.1163656909775,813.1163656909775,813.1163656909775,813.1163656909775,813.1163656909775,813.1163656909775,l,1.1357848400075454,1,2,0,814.284669753979,815.7858677149925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16861,2022-11-21_10h38.16.206,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90117372623791,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816.2865911069966,816.2865911069966,816.2865911069966,816.2865911069966,816.2865911069966,816.2865911069966,816.2865911069966,816.2865911069966,816.2865911069966,816.2865911069966,a,0.9355080999957863,10,12,0,817.254360521998,818.7559579649824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16861,2022-11-21_10h38.16.206,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90117372623791,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819.256641754997,819.256641754997,819.256641754997,819.256641754997,819.256641754997,819.256641754997,819.256641754997,819.256641754997,819.256641754997,819.256641754997,l,0.8352108170220163,10,22,0,820.1240961969888,821.6258444749983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16861,2022-11-21_10h38.16.206,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90117372623791,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822.1263507480035,822.1263507480035,822.1263507480035,822.1263507480035,822.1263507480035,822.1263507480035,822.1263507480035,822.1263507480035,822.1263507480035,822.1263507480035,a,1.23613967403071,10,32,0,823.3943442149903,824.8960175910033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16861,2022-11-21_10h38.16.206,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90117372623791,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825.3964567429794,825.3964567429794,825.3964567429794,825.3964567429794,825.3964567429794,825.3964567429794,825.3964567429794,825.3964567429794,825.3964567429794,825.3964567429794,a,1.341003884037491,1,33,0,826.7646549569909,828.2664432049787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16861,2022-11-21_10h38.16.206,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90117372623791,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828.7672200969828,828.7672200969828,828.7672200969828,828.7672200969828,828.7672200969828,828.7672200969828,828.7672200969828,828.7672200969828,828.7672200969828,828.7672200969828,l,1.245902027003467,10,43,0,830.035289906984,831.5366877490014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16861,2022-11-21_10h38.16.206,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90117372623791,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.0373833509802,832.0373833509802,832.0373833509802,832.0373833509802,832.0373833509802,832.0373833509802,832.0373833509802,832.0373833509802,832.0373833509802,832.0373833509802,a,0.5961531630018726,1,44,0,832.6533264229947,834.1563794699905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16861,2022-11-21_10h38.16.206,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90117372623791,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834.6568154169945,834.6568154169945,834.6568154169945,834.6568154169945,834.6568154169945,834.6568154169945,834.6568154169945,834.6568154169945,834.6568154169945,834.6568154169945,a,1.1153085390105844,10,54,0,835.7912468760042,837.2930961200036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16861,2022-11-21_10h38.16.206,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90117372623791,
