LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,prac_fback_text.stopped,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,fix.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.656503956997767,space,27.27794951800024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17433,2022-10-31_13h58.59.421,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.935576927775955,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.90384875499876,68.90384875499876,68.90384875499876,68.90384875499876,68.90384875499876,68.90384875499876,68.90384875499876,68.90384875499876,68.90384875499876,68.90384875499876,a,0.878827464999631,1,1,0,69.80935244199645,71.31099932000507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17433,2022-10-31_13h58.59.421,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.935576927775955,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.8114330190001,71.8114330190001,71.8114330190001,71.8114330190001,71.8114330190001,71.8114330190001,71.8114330190001,71.8114330190001,71.8114330190001,71.8114330190001,l,0.8426118649949785,10,11,0,72.6790475930029,74.1809073320037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17433,2022-10-31_13h58.59.421,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.935576927775955,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.68138836100115,74.68138836100115,74.68138836100115,74.68138836100115,74.68138836100115,74.68138836100115,74.68138836100115,74.68138836100115,74.68138836100115,74.68138836100115,a,1.5499979849992087,10,21,0,76.24975712099695,77.75140591099625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17433,2022-10-31_13h58.59.421,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.935576927775955,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.25190658100473,78.25190658100473,78.25190658100473,78.25190658100473,78.25190658100473,78.25190658100473,78.25190658100473,78.25190658100473,78.25190658100473,78.25190658100473,a,1.3387466950080125,10,31,0,79.61999591300264,81.12178295399644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17433,2022-10-31_13h58.59.421,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.935576927775955,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.62237705600273,81.62237705600273,81.62237705600273,81.62237705600273,81.62237705600273,81.62237705600273,81.62237705600273,81.62237705600273,81.62237705600273,81.62237705600273,a,0.6491490120097296,10,41,0,82.28962125799444,83.79128872600268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17433,2022-10-31_13h58.59.421,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.935576927775955,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,5,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.29197642099462,84.29197642099462,84.29197642099462,84.29197642099462,84.29197642099462,84.29197642099462,84.29197642099462,84.29197642099462,84.29197642099462,84.29197642099462,l,1.3784065710060531,10,51,0,85.69347985500644,87.19525868100754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17433,2022-10-31_13h58.59.421,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.935576927775955,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.69564381400414,87.69564381400414,87.69564381400414,87.69564381400414,87.69564381400414,87.69564381400414,87.69564381400414,87.69564381400414,87.69564381400414,87.69564381400414,l,1.1193996729998617,10,61,0,88.84700943699863,90.34868227600236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17433,2022-10-31_13h58.59.421,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.935576927775955,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.84909280500142,90.84909280500142,90.84909280500142,90.84909280500142,90.84909280500142,90.84909280500142,90.84909280500142,90.84909280500142,90.84909280500142,90.84909280500142,a,1.773429370005033,1,62,0,92.65111325800535,94.15291633900779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17433,2022-10-31_13h58.59.421,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.935576927775955,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.65335143500124,94.65335143500124,94.65335143500124,94.65335143500124,94.65335143500124,94.65335143500124,94.65335143500124,94.65335143500124,94.65335143500124,94.65335143500124,a,1.1130845630104886,1,63,0,95.78794614999788,97.28962085300009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17433,2022-10-31_13h58.59.421,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.935576927775955,
