LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,prac_fback_text.stopped,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,fix.stopped,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.60337071200775,space,21.732248286003596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31068,2022-11-04_14h56.24.032,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97243187170211,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.44608474300185,336.44608474300185,336.44608474300185,336.44608474300185,336.44608474300185,336.44608474300185,336.44608474300185,336.44608474300185,336.44608474300185,336.44608474300185,l,1.03943624200474,1,1,0,337.5157158939983,339.0173996749945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31068,2022-11-04_14h56.24.032,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97243187170211,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.5179621330026,339.5179621330026,339.5179621330026,339.5179621330026,339.5179621330026,339.5179621330026,339.5179621330026,339.5179621330026,339.5179621330026,339.5179621330026,a,2.2548405160050606,1,2,0,341.8038392479939,343.3055614670011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31068,2022-11-04_14h56.24.032,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97243187170211,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.8060640390031,343.8060640390031,343.8060640390031,343.8060640390031,343.8060640390031,343.8060640390031,343.8060640390031,343.8060640390031,343.8060640390031,343.8060640390031,l,1.2087569410068681,10,12,0,345.04077012500784,346.5426541110064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31068,2022-11-04_14h56.24.032,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97243187170211,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.0430401269987,347.0430401269987,347.0430401269987,347.0430401269987,347.0430401269987,347.0430401269987,347.0430401269987,347.0430401269987,347.0430401269987,347.0430401269987,l,1.3784292150085093,10,22,0,348.44457443499414,349.9461476400029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31068,2022-11-04_14h56.24.032,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97243187170211,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.4468152509944,350.4468152509944,350.4468152509944,350.4468152509944,350.4468152509944,350.4468152509944,350.4468152509944,350.4468152509944,350.4468152509944,350.4468152509944,a,1.3177004020108143,1,23,0,351.78143375100626,353.283095398001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31068,2022-11-04_14h56.24.032,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97243187170211,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.78368527500425,353.78368527500425,353.78368527500425,353.78368527500425,353.78368527500425,353.78368527500425,353.78368527500425,353.78368527500425,353.78368527500425,353.78368527500425,l,2.041785150009673,1,24,0,355.85264324799937,357.354323912994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31068,2022-11-04_14h56.24.032,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97243187170211,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,6,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.854914622003,357.854914622003,357.854914622003,357.854914622003,357.854914622003,357.854914622003,357.854914622003,357.854914622003,357.854914622003,357.854914622003,a,1.288126032013679,10,34,0,359.17299182400166,360.6748849180003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31068,2022-11-04_14h56.24.032,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97243187170211,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,7,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.17534352399525,361.17534352399525,361.17534352399525,361.17534352399525,361.17534352399525,361.17534352399525,361.17534352399525,361.17534352399525,361.17534352399525,361.17534352399525,a,1.8387328910030192,10,44,0,363.0440062550042,364.54578255600063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31068,2022-11-04_14h56.24.032,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97243187170211,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0463468509988,365.0463468509988,365.0463468509988,365.0463468509988,365.0463468509988,365.0463468509988,365.0463468509988,365.0463468509988,365.0463468509988,365.0463468509988,a,1.2420826449961169,1,45,0,366.3143070829974,367.8158477179968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31068,2022-11-04_14h56.24.032,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97243187170211,
