LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,fix.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.71831173499959,space,19.657246941991616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31275,2022-10-26_10h25.26.703,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.848491866648565,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.75732520699967,71.75732520699967,71.75732520699967,71.75732520699967,71.75732520699967,71.75732520699967,71.75732520699967,71.75732520699967,71.75732520699967,71.75732520699967,l,1.7700864809958148,10,10,0,73.54596354800015,75.04745829100284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31275,2022-10-26_10h25.26.703,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.848491866648565,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.54802505300177,75.54802505300177,75.54802505300177,75.54802505300177,75.54802505300177,75.54802505300177,75.54802505300177,75.54802505300177,75.54802505300177,75.54802505300177,a,1.32330227199418,10,20,0,76.89964993699687,78.40132201799861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31275,2022-10-26_10h25.26.703,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.848491866648565,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.90189611000096,78.90189611000096,78.90189611000096,78.90189611000096,78.90189611000096,78.90189611000096,78.90189611000096,78.90189611000096,78.90189611000096,78.90189611000096,l,0.7050150259965449,1,21,0,79.63602961799916,81.13760962500237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31275,2022-10-26_10h25.26.703,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.848491866648565,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.63810037200165,81.63810037200165,81.63810037200165,81.63810037200165,81.63810037200165,81.63810037200165,81.63810037200165,81.63810037200165,81.63810037200165,81.63810037200165,l,1.2245045709933038,1,22,0,82.88950118100183,84.39103228299791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31275,2022-10-26_10h25.26.703,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.848491866648565,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.89162142499845,84.89162142499845,84.89162142499845,84.89162142499845,84.89162142499845,84.89162142499845,84.89162142499845,84.89162142499845,84.89162142499845,84.89162142499845,l,1.0914413499995135,10,32,0,86.0096851299968,87.51128045500081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31275,2022-10-26_10h25.26.703,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.848491866648565,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.01183494499855,88.01183494499855,88.01183494499855,88.01183494499855,88.01183494499855,88.01183494499855,88.01183494499855,88.01183494499855,88.01183494499855,88.01183494499855,a,1.3241580559988506,10,42,0,89.36334401599743,90.86487599700195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31275,2022-10-26_10h25.26.703,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.848491866648565,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.36551528299606,91.36551528299606,91.36551528299606,91.36551528299606,91.36551528299606,91.36551528299606,91.36551528299606,91.36551528299606,91.36551528299606,91.36551528299606,a,0.5686989499954507,1,43,0,91.96618152599694,93.46785640800226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31275,2022-10-26_10h25.26.703,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.848491866648565,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.96844898600102,93.96844898600102,93.96844898600102,93.96844898600102,93.96844898600102,93.96844898600102,93.96844898600102,93.96844898600102,93.96844898600102,93.96844898600102,a,0.8698648360004881,10,53,0,94.86940205500287,96.37097494999762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31275,2022-10-26_10h25.26.703,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.848491866648565,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.87152707100176,96.87152707100176,96.87152707100176,96.87152707100176,96.87152707100176,96.87152707100176,96.87152707100176,96.87152707100176,96.87152707100176,96.87152707100176,a,1.3199155119946226,1,54,0,98.22309831299935,99.72478925599717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31275,2022-10-26_10h25.26.703,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.848491866648565,
