LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.560883305006428,space,15.148422115016729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.77793054000358,64.77793054000358,64.77793054000358,64.77793054000358,64.77793054000358,64.77793054000358,64.77793054000358,64.77793054000358,64.77793054000358,64.77793054000358,a,6.49153566500172,0,0,0,71.30193923698971,72.80361107000499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.30410887199105,73.30410887199105,73.30410887199105,73.30410887199105,73.30410887199105,73.30410887199105,73.30410887199105,73.30410887199105,73.30410887199105,73.30410887199105,l,6.10801811501733,1,1,0,79.44434505898971,80.94577532698167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44633727899054,81.44633727899054,81.44633727899054,81.44633727899054,81.44633727899054,81.44633727899054,81.44633727899054,81.44633727899054,81.44633727899054,81.44633727899054,a,5.61406242402154,1,2,0,87.0857092019869,88.58752425899729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.08816424899851,89.08816424899851,89.08816424899851,89.08816424899851,89.08816424899851,89.08816424899851,89.08816424899851,89.08816424899851,89.08816424899851,89.08816424899851,a,3.4853197170014028,1,3,0,92.59195628200541,94.0937672839791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.59424810198834,94.59424810198834,94.59424810198834,94.59424810198834,94.59424810198834,94.59424810198834,94.59424810198834,94.59424810198834,94.59424810198834,94.59424810198834,l,1.5057150979992002,1,4,0,96.1291362119955,97.6309281970025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.13140820199624,98.13140820199624,98.13140820199624,98.13140820199624,98.13140820199624,98.13140820199624,98.13140820199624,98.13140820199624,98.13140820199624,98.13140820199624,l,7.216952068993123,1,5,0,105.37270590299158,106.87472369900206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.37510311699589,107.37510311699589,107.37510311699589,107.37510311699589,107.37510311699589,107.37510311699589,107.37510311699589,107.37510311699589,107.37510311699589,107.37510311699589,l,4.686121689999709,1,6,0,112.08040771898231,113.58196102298098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.08237427799031,114.08237427799031,114.08237427799031,114.08237427799031,114.08237427799031,114.08237427799031,114.08237427799031,114.08237427799031,114.08237427799031,114.08237427799031,l,4.395777149999049,1,7,0,118.50389296299545,120.0057711089903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.50630150298821,120.50630150298821,120.50630150298821,120.50630150298821,120.50630150298821,120.50630150298821,120.50630150298821,120.50630150298821,120.50630150298821,120.50630150298821,a,10.162256530980812,10,17,0,130.70062370199594,132.20260051998775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,9,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.70288043798064,132.70288043798064,132.70288043798064,132.70288043798064,132.70288043798064,132.70288043798064,132.70288043798064,132.70288043798064,132.70288043798064,132.70288043798064,l,3.7186943650012836,10,27,0,136.44057212700136,137.94206155199208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.442757109995,138.442757109995,138.442757109995,138.442757109995,138.442757109995,138.442757109995,138.442757109995,138.442757109995,138.442757109995,138.442757109995,a,4.579812162992312,1,28,0,143.04781093698693,144.54959230299573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,11,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.04976177800563,145.04976177800563,145.04976177800563,145.04976177800563,145.04976177800563,145.04976177800563,145.04976177800563,145.04976177800563,145.04976177800563,145.04976177800563,l,5.941059344011592,10,38,0,151.02308810999966,152.52474009699654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.02536716900067,153.02536716900067,153.02536716900067,153.02536716900067,153.02536716900067,153.02536716900067,153.02536716900067,153.02536716900067,153.02536716900067,153.02536716900067,a,1.4594696590211242,10,48,0,154.51038048198097,156.01211884900113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,1,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.51252445499995,156.51252445499995,156.51252445499995,156.51252445499995,156.51252445499995,156.51252445499995,156.51252445499995,156.51252445499995,156.51252445499995,156.51252445499995,l,7.2367673279950395,1,49,0,163.77058841698454,165.27233540199813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,2,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.77289331197971,165.77289331197971,165.77289331197971,165.77289331197971,165.77289331197971,165.77289331197971,165.77289331197971,165.77289331197971,165.77289331197971,165.77289331197971,a,3.953409567999188,10,59,0,169.74386105299345,171.2455259540002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,3,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.74601492699003,171.74601492699003,171.74601492699003,171.74601492699003,171.74601492699003,171.74601492699003,171.74601492699003,171.74601492699003,171.74601492699003,171.74601492699003,a,3.0662191660085227,1,60,0,174.83264062198577,176.33429101799265,176.33429101799265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,4,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.834910406993,176.834910406993,176.834910406993,176.834910406993,176.834910406993,176.834910406993,176.834910406993,176.834910406993,176.834910406993,176.834910406993,a,4.050004713004455,1,61,0,180.90609597897856,182.4078370030038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,5,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.90813552000327,182.90813552000327,182.90813552000327,182.90813552000327,182.90813552000327,182.90813552000327,182.90813552000327,182.90813552000327,182.90813552000327,182.90813552000327,a,1.576720020006178,10,71,0,184.51026907400228,186.01170618200558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,6,18,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.5124755279976,186.5124755279976,186.5124755279976,186.5124755279976,186.5124755279976,186.5124755279976,186.5124755279976,186.5124755279976,186.5124755279976,186.5124755279976,a,1.5954698249988724,1,72,0,188.1308536969882,189.63245182699757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,7,19,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.13296107799397,190.13296107799397,190.13296107799397,190.13296107799397,190.13296107799397,190.13296107799397,190.13296107799397,190.13296107799397,190.13296107799397,190.13296107799397,a,1.6875796889944468,1,73,0,191.8517275369959,193.35347854500287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,8,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.85397374798777,193.85397374798777,193.85397374798777,193.85397374798777,193.85397374798777,193.85397374798777,193.85397374798777,193.85397374798777,193.85397374798777,193.85397374798777,a,1.5106244609924033,1,74,0,195.38897621899378,196.89035431700177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,9,21,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.390950031986,197.390950031986,197.390950031986,197.390950031986,197.390950031986,197.390950031986,197.390950031986,197.390950031986,197.390950031986,197.390950031986,a,1.613705455994932,10,84,0,199.02609199497965,200.5277978819795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
