LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,fix.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,alt,task,condition,target_resp.keys,rewCond,vts_fback.started,target_resp.rt,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.07037375200889,space,29.140912981994916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35177,2022-10-27_13h55.24.854,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.04948738307094,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.3458012729825,84.3458012729825,84.3458012729825,84.3458012729825,84.3458012729825,84.3458012729825,84.3458012729825,84.3458012729825,84.3458012729825,84.3458012729825,a,3.9044334259815514,10,10,0,88.28203924899572,89.783856361988,89.783856361988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35177,2022-10-27_13h55.24.854,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.04948738307094,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.28446220300975,90.28446220300975,90.28446220300975,90.28446220300975,90.28446220300975,90.28446220300975,90.28446220300975,90.28446220300975,90.28446220300975,90.28446220300975,a,0.9417596450075507,10,20,0,91.25220678999904,,92.75354356499156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35177,2022-10-27_13h55.24.854,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.04948738307094,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.25430005899398,93.25430005899398,93.25430005899398,93.25430005899398,93.25430005899398,93.25430005899398,93.25430005899398,93.25430005899398,93.25430005899398,93.25430005899398,l,0.7498068040004,1,21,0,94.02183196498663,95.52341612699092,95.52341612699092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35177,2022-10-27_13h55.24.854,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.04948738307094,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.02398512201034,96.02398512201034,96.02398512201034,96.02398512201034,96.02398512201034,96.02398512201034,96.02398512201034,96.02398512201034,96.02398512201034,96.02398512201034,a,0.8350504210102372,1,22,0,96.89144469998428,,98.39317559398478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35177,2022-10-27_13h55.24.854,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.04948738307094,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.89395325200167,98.89395325200167,98.89395325200167,98.89395325200167,98.89395325200167,98.89395325200167,98.89395325200167,98.89395325200167,98.89395325200167,98.89395325200167,l,1.0447366920125205,1,23,0,99.96164816699456,,101.46333343200968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35177,2022-10-27_13h55.24.854,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.04948738307094,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.96372891700594,101.96372891700594,101.96372891700594,101.96372891700594,101.96372891700594,101.96372891700594,101.96372891700594,101.96372891700594,101.96372891700594,101.96372891700594,l,1.0002148609783035,10,33,0,102.98154325899668,104.48346897898591,104.48346897898591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35177,2022-10-27_13h55.24.854,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.04948738307094,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.98383705999004,104.98383705999004,104.98383705999004,104.98383705999004,104.98383705999004,104.98383705999004,104.98383705999004,104.98383705999004,104.98383705999004,104.98383705999004,a,0.9390148120000958,1,34,0,105.95148047999828,,107.45315126000787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35177,2022-10-27_13h55.24.854,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.04948738307094,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.95364987000357,107.95364987000357,107.95364987000357,107.95364987000357,107.95364987000357,107.95364987000357,107.95364987000357,107.95364987000357,107.95364987000357,107.95364987000357,l,1.0421240849827882,1,35,0,109.02157268300653,,110.5232247899985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35177,2022-10-27_13h55.24.854,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.04948738307094,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.0238931599888,111.0238931599888,111.0238931599888,111.0238931599888,111.0238931599888,111.0238931599888,111.0238931599888,111.0238931599888,111.0238931599888,111.0238931599888,l,0.8103603849885985,10,45,0,111.85795341199264,,113.35961220500758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35177,2022-10-27_13h55.24.854,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.04948738307094,
