LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,tgt_fix_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,prac_fback_text.stopped,target_resp_prac1.rt,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974.4819632520084,space,18.370870932994876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37040,2022-11-22_10h17.54.641,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.063949969640696,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022.2690848970087,1022.2690848970087,1022.2690848970087,1022.2690848970087,1022.2690848970087,1022.2690848970087,1022.2690848970087,1022.2690848970087,1022.2690848970087,1022.2690848970087,a,1.8841492659703363,1,1,0,1024.1697209810081,1025.6716741929995,1025.6716741929995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37040,2022-11-22_10h17.54.641,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.063949969640696,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026.172105456004,1026.172105456004,1026.172105456004,1026.172105456004,1026.172105456004,1026.172105456004,1026.172105456004,1026.172105456004,1026.172105456004,1026.172105456004,l,1.445165455021197,10,11,0,1027.6403363110148,,1029.1419718320249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37040,2022-11-22_10h17.54.641,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.063949969640696,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,2,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1029.642583962006,1029.642583962006,1029.642583962006,1029.642583962006,1029.642583962006,1029.642583962006,1029.642583962006,1029.642583962006,1029.642583962006,1029.642583962006,l,1.1024901889904868,10,21,0,1030.777114615019,,1032.2788449980144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37040,2022-11-22_10h17.54.641,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.063949969640696,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032.7794291900063,1032.7794291900063,1032.7794291900063,1032.7794291900063,1032.7794291900063,1032.7794291900063,1032.7794291900063,1032.7794291900063,1032.7794291900063,1032.7794291900063,l,1.836056481988635,10,31,0,1034.6481462630036,,1036.1497255350114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37040,2022-11-22_10h17.54.641,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.063949969640696,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1036.650364590023,1036.650364590023,1036.650364590023,1036.650364590023,1036.650364590023,1036.650364590023,1036.650364590023,1036.650364590023,1036.650364590023,1036.650364590023,a,1.1265031580114737,1,32,0,1037.8016684400209,,1039.303320586012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37040,2022-11-22_10h17.54.641,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.063949969640696,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1039.803744247998,1039.803744247998,1039.803744247998,1039.803744247998,1039.803744247998,1039.803744247998,1039.803744247998,1039.803744247998,1039.803744247998,1039.803744247998,a,1.6635436190117616,1,33,0,1041.4888739160087,,1042.9906912550214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37040,2022-11-22_10h17.54.641,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.063949969640696,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1043.4912435550068,1043.4912435550068,1043.4912435550068,1043.4912435550068,1043.4912435550068,1043.4912435550068,1043.4912435550068,1043.4912435550068,1043.4912435550068,1043.4912435550068,a,0.9464284749992657,1,34,0,1044.4590651460167,,1045.9605519280012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37040,2022-11-22_10h17.54.641,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.063949969640696,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1046.4611907979997,1046.4611907979997,1046.4611907979997,1046.4611907979997,1046.4611907979997,1046.4611907979997,1046.4611907979997,1046.4611907979997,1046.4611907979997,1046.4611907979997,a,1.1039373139792588,1,35,0,1047.5956987920217,,1049.0974429600174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37040,2022-11-22_10h17.54.641,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.063949969640696,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,8,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1049.597931922006,1049.597931922006,1049.597931922006,1049.597931922006,1049.597931922006,1049.597931922006,1049.597931922006,1049.597931922006,1049.597931922006,1049.597931922006,l,1.016971884004306,1,36,0,1050.6323750450101,,1052.1342139110202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37040,2022-11-22_10h17.54.641,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.063949969640696,
