LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,top_target_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,prac_fback_text.stopped,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,blockNum,norew_fback.started,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.6223011640832,space,14.920533281285316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54640,2022-12-01_08h06.47.788,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0205125541495,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.0348470918834,327.0348470918834,327.0348470918834,327.0348470918834,327.0348470918834,327.0348470918834,327.0348470918834,327.0348470918834,327.0348470918834,327.0348470918834,a,2.5066086780279875,10,10,0,329.5606798850931,331.0757316881791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54640,2022-12-01_08h06.47.788,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0205125541495,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.57582237012684,331.57582237012684,331.57582237012684,331.57582237012684,331.57582237012684,331.57582237012684,331.57582237012684,331.57582237012684,331.57582237012684,331.57582237012684,l,2.071870120242238,1,11,0,333.68193221697584,335.19570586131886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54640,2022-12-01_08h06.47.788,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0205125541495,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.6959307543002,335.6959307543002,335.6959307543002,335.6959307543002,335.6959307543002,335.6959307543002,335.6959307543002,335.6959307543002,335.6959307543002,335.6959307543002,a,4.016046106815338,1,12,0,339.7325710533187,341.2330728871748,341.2330728871748,341.73335978621617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54640,2022-12-01_08h06.47.788,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0205125541495,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.73335978621617,341.73335978621617,341.73335978621617,341.73335978621617,341.73335978621617,341.73335978621617,341.73335978621617,341.73335978621617,341.73335978621617,341.73335978621617,l,1.8032398018985987,1,13,0,343.5692452811636,345.06967902509496,345.06967902509496,345.56984227802604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54640,2022-12-01_08h06.47.788,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0205125541495,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.56984227802604,345.56984227802604,345.56984227802604,345.56984227802604,345.56984227802604,345.56984227802604,345.56984227802604,345.56984227802604,345.56984227802604,345.56984227802604,l,2.6472584046423435,1,14,0,348.23740483401343,349.73984081530944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54640,2022-12-01_08h06.47.788,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0205125541495,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.2398282852955,350.2398282852955,350.2398282852955,350.2398282852955,350.2398282852955,350.2398282852955,350.2398282852955,350.2398282852955,350.2398282852955,350.2398282852955,a,1.802165150642395,1,15,0,352.0740447482094,353.5761774890125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54640,2022-12-01_08h06.47.788,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0205125541495,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.0764590022154,354.0764590022154,354.0764590022154,354.0764590022154,354.0764590022154,354.0764590022154,354.0764590022154,354.0764590022154,354.0764590022154,354.0764590022154,a,2.994553222786635,1,16,0,357.0942376633175,358.59677196806297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54640,2022-12-01_08h06.47.788,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0205125541495,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.097069228068,359.097069228068,359.097069228068,359.097069228068,359.097069228068,359.097069228068,359.097069228068,359.097069228068,359.097069228068,359.097069228068,l,2.2494363919831812,1,17,0,361.3642310760915,362.86500680819154,362.86500680819154,363.3650733702816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54640,2022-12-01_08h06.47.788,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0205125541495,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.3650733702816,363.3650733702816,363.3650733702816,363.3650733702816,363.3650733702816,363.3650733702816,363.3650733702816,363.3650733702816,363.3650733702816,363.3650733702816,a,1.9872413650155067,10,27,0,365.38439290225506,366.88482810696587,366.88482810696587,367.38496000226587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54640,2022-12-01_08h06.47.788,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0205125541495,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.38496000226587,367.38496000226587,367.38496000226587,367.38496000226587,367.38496000226587,367.38496000226587,367.38496000226587,367.38496000226587,367.38496000226587,367.38496000226587,l,1.6803196328692138,1,28,0,369.0887325340882,370.6047195373103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54640,2022-12-01_08h06.47.788,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0205125541495,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.0882249432616,371.0882249432616,371.0882249432616,371.0882249432616,371.0882249432616,371.0882249432616,371.0882249432616,371.0882249432616,371.0882249432616,371.0882249432616,l,1.9135513911023736,10,38,0,373.0238023418933,374.5245604258962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54640,2022-12-01_08h06.47.788,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0205125541495,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.02483362331986,375.02483362331986,375.02483362331986,375.02483362331986,375.02483362331986,375.02483362331986,375.02483362331986,375.02483362331986,375.02483362331986,375.02483362331986,a,1.58913360722363,1,39,0,376.6438401429914,378.15937525127083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54640,2022-12-01_08h06.47.788,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0205125541495,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,0,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.6446044500917,378.6446044500917,378.6446044500917,378.6446044500917,378.6446044500917,378.6446044500917,378.6446044500917,378.6446044500917,378.6446044500917,378.6446044500917,a,1.861397088970989,10,49,0,380.53037652606145,382.0459114559926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54640,2022-12-01_08h06.47.788,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0205125541495,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,1,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.5461555579677,382.5461555579677,382.5461555579677,382.5461555579677,382.5461555579677,382.5461555579677,382.5461555579677,382.5461555579677,382.5461555579677,382.5461555579677,a,2.6063114409334958,1,50,0,385.18380240211263,386.6993797752075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54640,2022-12-01_08h06.47.788,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0205125541495,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,2,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.1992555190809,387.1992555190809,387.1992555190809,387.1992555190809,387.1992555190809,387.1992555190809,387.1992555190809,387.1992555190809,387.1992555190809,387.1992555190809,l,1.643700597807765,10,60,0,388.8700205949135,390.38582970015705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54640,2022-12-01_08h06.47.788,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0205125541495,
