LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,tgt_fix_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,prac_fback_text.stopped,fix.stopped,target_resp_prac1.rt,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.908440788000007,space,16.526581283003907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60628,2022-11-02_10h19.54.445,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89845582044152,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.1894229779864,82.1894229779864,82.1894229779864,82.1894229779864,82.1894229779864,82.1894229779864,82.1894229779864,82.1894229779864,82.1894229779864,82.1894229779864,a,1.5417686980072176,1,1,0,83.75850836400059,85.25983539699519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60628,2022-11-02_10h19.54.445,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89845582044152,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.76045945700025,85.76045945700025,85.76045945700025,85.76045945700025,85.76045945700025,85.76045945700025,85.76045945700025,85.76045945700025,85.76045945700025,85.76045945700025,l,1.7227447190089151,10,11,0,87.5123757699912,89.01424819498789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60628,2022-11-02_10h19.54.445,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89845582044152,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.51475065699196,89.51475065699196,89.51475065699196,89.51475065699196,89.51475065699196,89.51475065699196,89.51475065699196,89.51475065699196,89.51475065699196,89.51475065699196,a,1.664313145010965,10,21,0,91.1999264479964,92.70147874599206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60628,2022-11-02_10h19.54.445,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89845582044152,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.20200336299604,93.20200336299604,93.20200336299604,93.20200336299604,93.20200336299604,93.20200336299604,93.20200336299604,93.20200336299604,93.20200336299604,93.20200336299604,l,1.4892586940113688,1,22,0,94.72057281399611,96.22204650999629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60628,2022-11-02_10h19.54.445,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89845582044152,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.72258906999195,96.72258906999195,96.72258906999195,96.72258906999195,96.72258906999195,96.72258906999195,96.72258906999195,96.72258906999195,96.72258906999195,96.72258906999195,a,0.9924157230125275,1,23,0,97.74033442599466,99.2422267459915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60628,2022-11-02_10h19.54.445,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89845582044152,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.74262695299694,99.74262695299694,99.74262695299694,99.74262695299694,99.74262695299694,99.74262695299694,99.74262695299694,99.74262695299694,99.74262695299694,99.74262695299694,l,1.7803955690033035,1,24,0,101.54487983998843,103.0462139089941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60628,2022-11-02_10h19.54.445,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89845582044152,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.54700154298916,103.54700154298916,103.54700154298916,103.54700154298916,103.54700154298916,103.54700154298916,103.54700154298916,103.54700154298916,103.54700154298916,103.54700154298916,a,2.216960146004567,1,25,0,105.78274123198935,107.28429131799203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60628,2022-11-02_10h19.54.445,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89845582044152,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.78487591799058,107.78487591799058,107.78487591799058,107.78487591799058,107.78487591799058,107.78487591799058,107.78487591799058,107.78487591799058,107.78487591799058,107.78487591799058,a,0.8257464920025086,1,26,0,108.63571989598859,110.13743399899977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60628,2022-11-02_10h19.54.445,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89845582044152,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.6380333739944,110.6380333739944,110.6380333739944,110.6380333739944,110.6380333739944,110.6380333739944,110.6380333739944,110.6380333739944,110.6380333739944,110.6380333739944,l,0.7012997880083276,10,36,0,111.37225014399155,112.87367894999625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60628,2022-11-02_10h19.54.445,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89845582044152,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,9,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.37431545399886,113.37431545399886,113.37431545399886,113.37431545399886,113.37431545399886,113.37431545399886,113.37431545399886,113.37431545399886,113.37431545399886,113.37431545399886,l,1.5811711970163742,10,46,0,114.97606324899243,116.47770628299622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60628,2022-11-02_10h19.54.445,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89845582044152,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,10,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.97843630799616,116.97843630799616,116.97843630799616,116.97843630799616,116.97843630799616,116.97843630799616,116.97843630799616,116.97843630799616,116.97843630799616,116.97843630799616,l,0.47316225901886355,10,56,0,117.47896114799369,118.98068987998704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60628,2022-11-02_10h19.54.445,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89845582044152,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,11,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.4811520059884,119.4811520059884,119.4811520059884,119.4811520059884,119.4811520059884,119.4811520059884,119.4811520059884,119.4811520059884,119.4811520059884,119.4811520059884,l,0.9851893360028043,1,57,0,120.49876141198911,122.0004765479971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60628,2022-11-02_10h19.54.445,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89845582044152,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,0,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.5011430119921,122.5011430119921,122.5011430119921,122.5011430119921,122.5011430119921,122.5011430119921,122.5011430119921,122.5011430119921,122.5011430119921,122.5011430119921,a,0.8773205640172819,10,67,0,123.40214751899475,124.90381569598685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60628,2022-11-02_10h19.54.445,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89845582044152,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,1,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.40418845099339,125.40418845099339,125.40418845099339,125.40418845099339,125.40418845099339,125.40418845099339,125.40418845099339,125.40418845099339,125.40418845099339,125.40418845099339,l,1.3033482700120658,1,68,0,126.73915681098879,128.24090245299158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60628,2022-11-02_10h19.54.445,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89845582044152,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,2,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.74115221398824,128.74115221398824,128.74115221398824,128.74115221398824,128.74115221398824,128.74115221398824,128.74115221398824,128.74115221398824,128.74115221398824,128.74115221398824,l,0.7264992920099758,10,78,0,129.49203862399736,130.99360353998782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60628,2022-11-02_10h19.54.445,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89845582044152,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,3,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.49415797299298,131.49415797299298,131.49415797299298,131.49415797299298,131.49415797299298,131.49415797299298,131.49415797299298,131.49415797299298,131.49415797299298,131.49415797299298,l,0.6452396710083121,1,79,0,132.16170717099158,133.66341154898691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60628,2022-11-02_10h19.54.445,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89845582044152,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,4,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.16379670400056,134.16379670400056,134.16379670400056,134.16379670400056,134.16379670400056,134.16379670400056,134.16379670400056,134.16379670400056,134.16379670400056,134.16379670400056,a,0.47087182200630195,1,80,0,134.66455266399134,136.16630084200006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60628,2022-11-02_10h19.54.445,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89845582044152,
