LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,prac_fback_text.stopped,top_target_prac2.stopped,tgt_fix_prac2.stopped,bott_target_prac2.stopped,target_resp_prac2.stopped,fix.stopped,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,alt,task,condition,target_resp.keys,rewCond,vts_fback.started,vts_fback.stopped,target_resp.rt,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.7764904939977,space,33.12159972501104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77970,2022-11-22_08h04.02.974,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94806914303617,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.6638550759817,493.6638550759817,493.6638550759817,493.6638550759817,493.6638550759817,493.6638550759817,493.6638550759817,493.6638550759817,493.6638550759817,493.6638550759817,a,2.092956923006568,10,10,0,495.7818369519955,497.2836486559827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77970,2022-11-22_08h04.02.974,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94806914303617,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.7842168279749,497.7842168279749,497.7842168279749,497.7842168279749,497.7842168279749,497.7842168279749,497.7842168279749,497.7842168279749,497.7842168279749,497.7842168279749,a,0.8853616530250292,1,11,0,498.70177275899914,500.2036182929878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77970,2022-11-22_08h04.02.974,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94806914303617,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,2,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.7041750109929,500.7041750109929,500.7041750109929,500.7041750109929,500.7041750109929,500.7041750109929,500.7041750109929,500.7041750109929,500.7041750109929,500.7041750109929,a,0.8907893340219744,1,12,0,501.6218542220013,503.12337781800306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77970,2022-11-22_08h04.02.974,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94806914303617,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503.6239106779976,503.6239106779976,503.6239106779976,503.6239106779976,503.6239106779976,503.6239106779976,503.6239106779976,503.6239106779976,503.6239106779976,503.6239106779976,l,0.3015337850083597,1,13,0,503.9577301410027,505.4594021969824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77970,2022-11-22_08h04.02.974,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94806914303617,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505.9600965039863,505.9600965039863,505.9600965039863,505.9600965039863,505.9600965039863,505.9600965039863,505.9600965039863,505.9600965039863,505.9600965039863,505.9600965039863,l,0.428381932026241,10,23,0,506.4105675009778,507.91197997599375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77970,2022-11-22_08h04.02.974,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94806914303617,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.41271628899267,508.41271628899267,508.41271628899267,508.41271628899267,508.41271628899267,508.41271628899267,508.41271628899267,508.41271628899267,508.41271628899267,508.41271628899267,a,0.418038225005148,10,33,0,508.8634827249916,510.36479424498975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77970,2022-11-22_08h04.02.974,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94806914303617,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510.86546577498666,510.86546577498666,510.86546577498666,510.86546577498666,510.86546577498666,510.86546577498666,510.86546577498666,510.86546577498666,510.86546577498666,510.86546577498666,a,1.8116050970274955,1,34,0,512.7006980769802,514.2022901349992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77970,2022-11-22_08h04.02.974,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94806914303617,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514.7029161629907,514.7029161629907,514.7029161629907,514.7029161629907,514.7029161629907,514.7029161629907,514.7029161629907,514.7029161629907,514.7029161629907,514.7029161629907,l,0.5730165000422858,1,35,0,515.3035496049852,516.805399860983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77970,2022-11-22_08h04.02.974,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94806914303617,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517.3057911619835,517.3057911619835,517.3057911619835,517.3057911619835,517.3057911619835,517.3057911619835,517.3057911619835,517.3057911619835,517.3057911619835,517.3057911619835,l,0.2772111900267191,1,36,0,517.6060885810002,519.1079070809938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77970,2022-11-22_08h04.02.974,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94806914303617,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,9,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.6083497249929,519.6083497249929,519.6083497249929,519.6083497249929,519.6083497249929,519.6083497249929,519.6083497249929,519.6083497249929,519.6083497249929,519.6083497249929,l,0.25706234099925496,1,37,0,519.8920404219825,521.3936826249992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77970,2022-11-22_08h04.02.974,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94806914303617,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.8940860379953,521.8940860379953,521.8940860379953,521.8940860379953,521.8940860379953,521.8940860379953,521.8940860379953,521.8940860379953,521.8940860379953,521.8940860379953,a,1.9095154110109434,1,38,0,523.8296239229967,525.331348621985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77970,2022-11-22_08h04.02.974,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94806914303617,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,11,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.8319294819958,525.8319294819958,525.8319294819958,525.8319294819958,525.8319294819958,525.8319294819958,525.8319294819958,525.8319294819958,525.8319294819958,525.8319294819958,a,0.30198370103607886,10,48,0,526.165451607987,527.6671077099745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77970,2022-11-22_08h04.02.974,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94806914303617,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528.1678931619972,528.1678931619972,528.1678931619972,528.1678931619972,528.1678931619972,528.1678931619972,528.1678931619972,528.1678931619972,528.1678931619972,528.1678931619972,l,0.37273202603682876,10,58,0,528.5682498480019,530.0698853049835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77970,2022-11-22_08h04.02.974,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94806914303617,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,1,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530.5704009170004,530.5704009170004,530.5704009170004,530.5704009170004,530.5704009170004,530.5704009170004,530.5704009170004,530.5704009170004,530.5704009170004,530.5704009170004,a,0.29804818602860905,1,59,0,530.8874438929779,532.3890770759899,532.3890770759899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77970,2022-11-22_08h04.02.974,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94806914303617,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,2,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.8896813039901,532.8896813039901,532.8896813039901,532.8896813039901,532.8896813039901,532.8896813039901,532.8896813039901,532.8896813039901,532.8896813039901,532.8896813039901,l,0.5436533770116512,1,60,0,533.4569553530018,534.9588393959857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77970,2022-11-22_08h04.02.974,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94806914303617,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,3,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535.4590745089808,535.4590745089808,535.4590745089808,535.4590745089808,535.4590745089808,535.4590745089808,535.4590745089808,535.4590745089808,535.4590745089808,535.4590745089808,a,1.991590908030048,10,70,0,537.4780327889894,538.9795172479935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77970,2022-11-22_08h04.02.974,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94806914303617,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,4,16,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.4801118739997,539.4801118739997,539.4801118739997,539.4801118739997,539.4801118739997,539.4801118739997,539.4801118739997,539.4801118739997,539.4801118739997,539.4801118739997,l,2.110146187042119,10,80,0,541.616244675999,543.1178730359825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77970,2022-11-22_08h04.02.974,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94806914303617,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,5,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.6183027669904,543.6183027669904,543.6183027669904,543.6183027669904,543.6183027669904,543.6183027669904,543.6183027669904,543.6183027669904,543.6183027669904,543.6183027669904,l,1.920309831009945,1,81,0,545.5703480679949,547.0720641200023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77970,2022-11-22_08h04.02.974,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94806914303617,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,6,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547.5725382529781,547.5725382529781,547.5725382529781,547.5725382529781,547.5725382529781,547.5725382529781,547.5725382529781,547.5725382529781,547.5725382529781,547.5725382529781,a,0.7461691660282668,10,91,0,548.340247524,549.8417111779854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77970,2022-11-22_08h04.02.974,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94806914303617,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,7,19,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.3421942779969,550.3421942779969,550.3421942779969,550.3421942779969,550.3421942779969,550.3421942779969,550.3421942779969,550.3421942779969,550.3421942779969,550.3421942779969,a,1.3066364550031722,10,101,0,551.6770806739805,553.178932209994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77970,2022-11-22_08h04.02.974,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94806914303617,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,8,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553.6796608709847,553.6796608709847,553.6796608709847,553.6796608709847,553.6796608709847,553.6796608709847,553.6796608709847,553.6796608709847,553.6796608709847,553.6796608709847,l,3.0986933360109106,1,102,0,556.7992200570006,558.3010131499905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77970,2022-11-22_08h04.02.974,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94806914303617,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,9,21,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.801430255,558.801430255,558.801430255,558.801430255,558.801430255,558.801430255,558.801430255,558.801430255,558.801430255,558.801430255,l,0.7777253450185526,1,103,0,559.6023062659951,561.1040650449868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77970,2022-11-22_08h04.02.974,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94806914303617,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,10,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561.6045915609866,561.6045915609866,561.6045915609866,561.6045915609866,561.6045915609866,561.6045915609866,561.6045915609866,561.6045915609866,561.6045915609866,561.6045915609866,a,1.0363839360070415,10,113,0,562.6724851719919,564.17409274698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77970,2022-11-22_08h04.02.974,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94806914303617,
