LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.30873462400632,space,28.770778717007488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.88405563301058,69.88405563301058,69.88405563301058,69.88405563301058,69.88405563301058,69.88405563301058,69.88405563301058,69.88405563301058,69.88405563301058,69.88405563301058,a,4.146337946003769,10,10,0,74.06159313500393,75.56307373099844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0637442030129,76.0637442030129,76.0637442030129,76.0637442030129,76.0637442030129,76.0637442030129,76.0637442030129,76.0637442030129,76.0637442030129,76.0637442030129,a,1.725231589982286,1,11,0,77.81568792602047,79.31742099201074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,2,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.81776416601497,79.81776416601497,79.81776416601497,79.81776416601497,79.81776416601497,79.81776416601497,79.81776416601497,79.81776416601497,79.81776416601497,79.81776416601497,a,1.6048730709881056,1,12,0,81.45301197201479,82.95455326902447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.45516227601911,83.45516227601911,83.45516227601911,83.45516227601911,83.45516227601911,83.45516227601911,83.45516227601911,83.45516227601911,83.45516227601911,83.45516227601911,a,2.052583966986276,1,13,0,85.52411983601633,87.0258332020021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.52632514800644,87.52632514800644,87.52632514800644,87.52632514800644,87.52632514800644,87.52632514800644,87.52632514800644,87.52632514800644,87.52632514800644,87.52632514800644,a,1.1087293689779472,10,23,0,88.66086397701292,90.16272950201528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,5,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.66308383201249,90.66308383201249,90.66308383201249,90.66308383201249,90.66308383201249,90.66308383201249,90.66308383201249,90.66308383201249,90.66308383201249,90.66308383201249,l,0.7168923849822022,1,24,0,91.39720042201225,92.89892113499809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.3995410480129,93.3995410480129,93.3995410480129,93.3995410480129,93.3995410480129,93.3995410480129,93.3995410480129,93.3995410480129,93.3995410480129,93.3995410480129,l,1.3550480130070355,10,34,0,94.78435099302442,96.28595640402636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.78649345302256,96.78649345302256,96.78649345302256,96.78649345302256,96.78649345302256,96.78649345302256,96.78649345302256,96.78649345302256,96.78649345302256,96.78649345302256,l,0.5672291140072048,1,35,0,97.37063399900217,98.87222251200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.37285182101186,99.37285182101186,99.37285182101186,99.37285182101186,99.37285182101186,99.37285182101186,99.37285182101186,99.37285182101186,99.37285182101186,99.37285182101186,a,0.7932540049951058,10,45,0,100.19040568900527,101.69194067100761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,9,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.192587233003,102.192587233003,102.192587233003,102.192587233003,102.192587233003,102.192587233003,102.192587233003,102.192587233003,102.192587233003,102.192587233003,a,0.6512808229890652,10,55,0,102.87670458600041,104.37823817902245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.87809509501676,104.87809509501676,104.87809509501676,104.87809509501676,104.87809509501676,104.87809509501676,104.87809509501676,104.87809509501676,104.87809509501676,104.87809509501676,a,1.104035674012266,1,56,0,106.0133668310009,107.51501962702605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,11,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0157609640155,108.0157609640155,108.0157609640155,108.0157609640155,108.0157609640155,108.0157609640155,108.0157609640155,108.0157609640155,108.0157609640155,108.0157609640155,a,0.7678661139798351,10,66,0,108.81642721101525,110.31819853300112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,0,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.81872538200696,110.81872538200696,110.81872538200696,110.81872538200696,110.81872538200696,110.81872538200696,110.81872538200696,110.81872538200696,110.81872538200696,110.81872538200696,l,2.295628966006916,1,67,0,113.1380414890009,114.63955511600943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,1,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.14007630600827,115.14007630600827,115.14007630600827,115.14007630600827,115.14007630600827,115.14007630600827,115.14007630600827,115.14007630600827,115.14007630600827,115.14007630600827,a,0.7534728439641185,10,77,0,115.92429633400752,117.42599729902577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,2,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.92653511100798,117.92653511100798,117.92653511100798,117.92653511100798,117.92653511100798,117.92653511100798,117.92653511100798,117.92653511100798,117.92653511100798,117.92653511100798,a,0.7244366359664127,1,78,0,118.6773447660089,120.17898479301948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,3,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.67958789601107,120.67958789601107,120.67958789601107,120.67958789601107,120.67958789601107,120.67958789601107,120.67958789601107,120.67958789601107,120.67958789601107,120.67958789601107,a,0.7841890889685601,10,88,0,121.48035296201124,122.98200733301928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,4,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.48252906400012,123.48252906400012,123.48252906400012,123.48252906400012,123.48252906400012,123.48252906400012,123.48252906400012,123.48252906400012,123.48252906400012,123.48252906400012,a,0.7588708859984763,10,98,0,124.26670999699854,125.7684477820003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,5,17,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.2690157360048,126.2690157360048,126.2690157360048,126.2690157360048,126.2690157360048,126.2690157360048,126.2690157360048,126.2690157360048,126.2690157360048,126.2690157360048,l,0.6607876869966276,10,108,0,126.9531296750065,128.45482713801903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,6,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.95544402999803,128.95544402999803,128.95544402999803,128.95544402999803,128.95544402999803,128.95544402999803,128.95544402999803,128.95544402999803,128.95544402999803,128.95544402999803,a,0.5070080359873828,10,118,0,129.4892578200088,130.99101153601077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,7,19,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.49144067801535,131.49144067801535,131.49144067801535,131.49144067801535,131.49144067801535,131.49144067801535,131.49144067801535,131.49144067801535,131.49144067801535,131.49144067801535,l,0.7504120669909753,1,119,0,132.2592980019981,133.76073713801452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
