LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,target_resp_prac1.rt,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1053.2711216830648,space,18.56886062398553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97511,2022-12-01_11h17.46.624,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.960681687696386,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1099.8467070851475,1099.8467070851475,1099.8467070851475,1099.8467070851475,1099.8467070851475,1099.8467070851475,1099.8467070851475,1099.8467070851475,1099.8467070851475,1099.8467070851475,a,1.9540983829647303,1,1,0,1101.8341245362535,1103.3339853729121,1103.3339853729121,1103.834070151206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97511,2022-12-01_11h17.46.624,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.960681687696386,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103.834070151206,1103.834070151206,1103.834070151206,1103.834070151206,1103.834070151206,1103.834070151206,1103.834070151206,1103.834070151206,1103.834070151206,1103.834070151206,a,1.5112792127765715,1,2,0,1105.3694576881826,1106.8702181419358,1106.8702181419358,1107.3703352562152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97511,2022-12-01_11h17.46.624,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.960681687696386,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1107.3703352562152,1107.3703352562152,1107.3703352562152,1107.3703352562152,1107.3703352562152,1107.3703352562152,1107.3703352562152,1107.3703352562152,1107.3703352562152,1107.3703352562152,l,1.6302270498126745,10,12,0,1109.022727936972,,1110.5234725391492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97511,2022-12-01_11h17.46.624,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.960681687696386,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1111.023741539102,1111.023741539102,1111.023741539102,1111.023741539102,1111.023741539102,1111.023741539102,1111.023741539102,1111.023741539102,1111.023741539102,1111.023741539102,a,1.9823328610509634,1,13,0,1113.0263459999114,,1114.5413942430168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97511,2022-12-01_11h17.46.624,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.960681687696386,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,4,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1115.0264773848467,1115.0264773848467,1115.0264773848467,1115.0264773848467,1115.0264773848467,1115.0264773848467,1115.0264773848467,1115.0264773848467,1115.0264773848467,1115.0264773848467,l,0.769747800193727,10,23,0,1115.8275496331044,1117.3275741850957,1117.3275741850957,1117.8277500262484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97511,2022-12-01_11h17.46.624,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.960681687696386,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117.8277500262484,1117.8277500262484,1117.8277500262484,1117.8277500262484,1117.8277500262484,1117.8277500262484,1117.8277500262484,1117.8277500262484,1117.8277500262484,1117.8277500262484,a,1.7148504457436502,1,24,0,1119.5636729011312,,1121.0644287932664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97511,2022-12-01_11h17.46.624,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.960681687696386,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1121.5647809519432,1121.5647809519432,1121.5647809519432,1121.5647809519432,1121.5647809519432,1121.5647809519432,1121.5647809519432,1121.5647809519432,1121.5647809519432,1121.5647809519432,l,0.7114393701776862,1,25,0,1122.297949734144,1123.7984611601569,1123.7984611601569,1124.298396660015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97511,2022-12-01_11h17.46.624,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.960681687696386,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1124.298396660015,1124.298396660015,1124.298396660015,1124.298396660015,1124.298396660015,1124.298396660015,1124.298396660015,1124.298396660015,1124.298396660015,1124.298396660015,l,1.1166863818652928,10,35,0,1125.4351621042006,,1126.934440643061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97511,2022-12-01_11h17.46.624,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.960681687696386,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1127.4348389022052,1127.4348389022052,1127.4348389022052,1127.4348389022052,1127.4348389022052,1127.4348389022052,1127.4348389022052,1127.4348389022052,1127.4348389022052,1127.4348389022052,l,2.1430374309420586,1,36,0,1129.603557066992,,1131.1048374311067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97511,2022-12-01_11h17.46.624,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.960681687696386,
