LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,15.709405650995905,space,5.032151088991668,,,,,,,,,,,,,,,,,,,,25726,2022-11-29_14h07.46.306,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.946027953898465,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,0,0,3,,,,21.30702847801149,21.30702847801149,21.30702847801149,21.30702847801149,21.30702847801149,21.30702847801149,21.30702847801149,21.30702847801149,21.30702847801149,21.30702847801149,a,0.5120778999989852,10,10,0,21.841872269986197,23.34420647699153,,,25726,2022-11-29_14h07.46.306,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.946027953898465,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,1,1,9,,,,23.84423318199697,23.84423318199697,23.84423318199697,23.84423318199697,23.84423318199697,23.84423318199697,23.84423318199697,23.84423318199697,23.84423318199697,23.84423318199697,a,0.5738409209880047,1,11,0,24.444850797008257,25.946344897995004,,,25726,2022-11-29_14h07.46.306,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.946027953898465,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,2,2,10,,,,26.447162244003266,26.447162244003266,26.447162244003266,26.447162244003266,26.447162244003266,26.447162244003266,26.447162244003266,26.447162244003266,26.447162244003266,26.447162244003266,a,12.855858566996176,1,12,0,39.327775034005754,40.82937328299158,,,25726,2022-11-29_14h07.46.306,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.946027953898465,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,3,3,0,,,,41.3300388790085,41.3300388790085,41.3300388790085,41.3300388790085,41.3300388790085,41.3300388790085,41.3300388790085,41.3300388790085,41.3300388790085,41.3300388790085,l,0.10904651597957127,10,22,0,41.46394434501417,42.96540646100766,,,25726,2022-11-29_14h07.46.306,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.946027953898465,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,4,4,1,,,,43.4656048270117,43.4656048270117,43.4656048270117,43.4656048270117,43.4656048270117,43.4656048270117,43.4656048270117,43.4656048270117,43.4656048270117,43.4656048270117,l,0.06755617700400762,1,23,0,43.565985842986265,45.06758746600826,,,25726,2022-11-29_14h07.46.306,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.946027953898465,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,5,5,6,,,,45.56810722700902,45.56810722700902,45.56810722700902,45.56810722700902,45.56810722700902,45.56810722700902,45.56810722700902,45.56810722700902,45.56810722700902,45.56810722700902,l,0.0445920120109804,1,24,0,45.63531129001058,47.13685537700076,,,25726,2022-11-29_14h07.46.306,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.946027953898465,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,6,6,5,,,,47.6369798030064,47.6369798030064,47.6369798030064,47.6369798030064,47.6369798030064,47.6369798030064,47.6369798030064,47.6369798030064,47.6369798030064,47.6369798030064,a,0.20331428397912532,10,34,0,47.87051918701036,49.37235627800692,,,25726,2022-11-29_14h07.46.306,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.946027953898465,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,7,7,11,,,,49.87255866400665,49.87255866400665,49.87255866400665,49.87255866400665,49.87255866400665,49.87255866400665,49.87255866400665,49.87255866400665,49.87255866400665,49.87255866400665,l,0.18458340500365011,10,44,0,50.08947128299042,51.5914728330099,,,25726,2022-11-29_14h07.46.306,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.946027953898465,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,8,8,2,,,,52.09174641399295,52.09174641399295,52.09174641399295,52.09174641399295,52.09174641399295,52.09174641399295,52.09174641399295,52.09174641399295,52.09174641399295,52.09174641399295,l,0.05783258599694818,1,45,0,52.17511027198634,53.676817024999764,,,25726,2022-11-29_14h07.46.306,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.946027953898465,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,9,9,4,,,,54.1776294450101,54.1776294450101,54.1776294450101,54.1776294450101,54.1776294450101,54.1776294450101,54.1776294450101,54.1776294450101,54.1776294450101,54.1776294450101,l,0.03064355399692431,1,46,0,54.22741925099399,55.72903343901271,,,25726,2022-11-29_14h07.46.306,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.946027953898465,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,10,10,8,,,,56.2296498400101,56.2296498400101,56.2296498400101,56.2296498400101,56.2296498400101,56.2296498400101,56.2296498400101,56.2296498400101,56.2296498400101,56.2296498400101,l,0.017180840979563072,1,47,0,56.263039609999396,57.76475495600607,,,25726,2022-11-29_14h07.46.306,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.946027953898465,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,11,11,7,,,,58.26520749498741,58.26520749498741,58.26520749498741,58.26520749498741,58.26520749498741,58.26520749498741,58.26520749498741,58.26520749498741,58.26520749498741,58.26520749498741,l,0.4091153839835897,1,48,0,58.699200308998115,60.20084469098947,,,25726,2022-11-29_14h07.46.306,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.946027953898465,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,0,12,4,,,,60.701337233011145,60.701337233011145,60.701337233011145,60.701337233011145,60.701337233011145,60.701337233011145,60.701337233011145,60.701337233011145,60.701337233011145,60.701337233011145,a,0.7638812549703289,10,58,0,61.485513063991675,62.987133120012004,,,25726,2022-11-29_14h07.46.306,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.946027953898465,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,1,13,2,,,,63.48764006400597,63.48764006400597,63.48764006400597,63.48764006400597,63.48764006400597,63.48764006400597,63.48764006400597,63.48764006400597,63.48764006400597,63.48764006400597,l,0.014543744997354224,1,59,0,63.52117153198924,65.0226151359966,,,25726,2022-11-29_14h07.46.306,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.946027953898465,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,2,14,10,,,,65.52363115901244,65.52363115901244,65.52363115901244,65.52363115901244,65.52363115901244,65.52363115901244,65.52363115901244,65.52363115901244,65.52363115901244,65.52363115901244,l,0.07017089397413656,1,60,0,65.62350169499405,67.12522500799969,,,25726,2022-11-29_14h07.46.306,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.946027953898465,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,3,15,3,,,,67.62564410999767,67.62564410999767,67.62564410999767,67.62564410999767,67.62564410999767,67.62564410999767,67.62564410999767,67.62564410999767,67.62564410999767,67.62564410999767,l,0.0055374719959218055,1,61,0,67.6591811820108,69.16065586800687,,,25726,2022-11-29_14h07.46.306,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.946027953898465,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,4,16,8,,,,69.66123194701504,69.66123194701504,69.66123194701504,69.66123194701504,69.66123194701504,69.66123194701504,69.66123194701504,69.66123194701504,69.66123194701504,69.66123194701504,l,0.0947077970195096,1,62,0,69.77792625199072,71.27961862599477,,,25726,2022-11-29_14h07.46.306,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.946027953898465,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,5,17,9,,,,71.78051792300539,71.78051792300539,71.78051792300539,71.78051792300539,71.78051792300539,71.78051792300539,71.78051792300539,71.78051792300539,71.78051792300539,71.78051792300539,l,0.3058632139873225,10,72,0,72.11427084699972,73.61598863999825,,,25726,2022-11-29_14h07.46.306,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.946027953898465,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,6,18,5,,,,74.1160847239953,74.1160847239953,74.1160847239953,74.1160847239953,74.1160847239953,74.1160847239953,74.1160847239953,74.1160847239953,74.1160847239953,74.1160847239953,a,0.34330267398036085,1,73,0,74.48313059299835,75.98486700400827,,,25726,2022-11-29_14h07.46.306,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.946027953898465,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,7,19,1,,,,76.48567717301194,76.48567717301194,76.48567717301194,76.48567717301194,76.48567717301194,76.48567717301194,76.48567717301194,76.48567717301194,76.48567717301194,76.48567717301194,a,0.4261488000047393,1,74,0,76.93605443299748,78.43751455200254,,,25726,2022-11-29_14h07.46.306,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.946027953898465,
