LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,512.3179646689996,space,33.56850154499989,,,,,,,,,,,,,,,,,,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,0,0,10,,,,,,,,582.0777467179996,582.0777467179996,582.0777467179996,582.0777467179996,582.0777467179996,582.0777467179996,582.0777467179996,582.0777467179996,582.0777467179996,582.0777467179996,a,3.6150021659996128,0,0,0,585.7155660469998,587.2170639229998,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,1,1,7,,,,,,,,587.7175459689997,587.7175459689997,587.7175459689997,587.7175459689997,587.7175459689997,587.7175459689997,587.7175459689997,587.7175459689997,587.7175459689997,587.7175459689997,l,1.3852399289999084,1,1,0,589.1189178969998,590.6207821039998,590.6207821039998,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,2,2,4,,,,,,,,591.1213787569995,591.1213787569995,591.1213787569995,591.1213787569995,591.1213787569995,591.1213787569995,591.1213787569995,591.1213787569995,591.1213787569995,591.1213787569995,a,1.275816986000791,10,11,0,592.4226487219994,593.9246083779999,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,3,3,8,,,,,,,,594.4249743349992,594.4249743349992,594.4249743349992,594.4249743349992,594.4249743349992,594.4249743349992,594.4249743349992,594.4249743349992,594.4249743349992,594.4249743349992,a,3.0542433050004547,1,12,0,597.5118776119998,599.0132262549996,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,4,4,0,,,,,,,,599.5138045469994,599.5138045469994,599.5138045469994,599.5138045469994,599.5138045469994,599.5138045469994,599.5138045469994,599.5138045469994,599.5138045469994,599.5138045469994,l,1.6429320839997672,1,13,0,601.182306232,602.6840556679999,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,5,5,1,,,,,,,,603.1846948099992,603.1846948099992,603.1846948099992,603.1846948099992,603.1846948099992,603.1846948099992,603.1846948099992,603.1846948099992,603.1846948099992,603.1846948099992,l,1.2854523890000564,1,14,0,604.5026757689993,606.0045971479994,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,6,6,11,,,,,,,,606.5051320189996,606.5051320189996,606.5051320189996,606.5051320189996,606.5051320189996,606.5051320189996,606.5051320189996,606.5051320189996,606.5051320189996,606.5051320189996,a,0.6039583010006027,10,24,0,607.1390528439988,608.6406463839994,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,7,7,9,,,,,,,,609.1412201740004,609.1412201740004,609.1412201740004,609.1412201740004,609.1412201740004,609.1412201740004,609.1412201740004,609.1412201740004,609.1412201740004,609.1412201740004,a,3.153938925001057,1,25,0,612.3277989139988,613.8295599489993,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,8,8,6,,,,,,,,614.3304397569991,614.3304397569991,614.3304397569991,614.3304397569991,614.3304397569991,614.3304397569991,614.3304397569991,614.3304397569991,614.3304397569991,614.3304397569991,l,1.4520125140006712,10,35,0,615.8152080969994,617.3169199740005,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,9,9,2,,,,,,,,617.8176245390005,617.8176245390005,617.8176245390005,617.8176245390005,617.8176245390005,617.8176245390005,617.8176245390005,617.8176245390005,617.8176245390005,617.8176245390005,a,1.804208073999689,10,45,0,619.652933067,621.1545172690003,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,10,10,5,,,,,,,,621.6551805340005,621.6551805340005,621.6551805340005,621.6551805340005,621.6551805340005,621.6551805340005,621.6551805340005,621.6551805340005,621.6551805340005,621.6551805340005,a,1.1990325600017968,10,55,0,622.8729913879997,624.3746594579989,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,11,11,3,,,,,,,,624.8752298389991,624.8752298389991,624.8752298389991,624.8752298389991,624.8752298389991,624.8752298389991,624.8752298389991,624.8752298389991,624.8752298389991,624.8752298389991,l,2.0269304509984067,10,65,0,626.9275318669988,628.4292877480002,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,0,12,6,,,,,,,,628.9297183250001,628.9297183250001,628.9297183250001,628.9297183250001,628.9297183250001,628.9297183250001,628.9297183250001,628.9297183250001,628.9297183250001,628.9297183250001,l,1.3870141340012196,1,66,0,630.348089088,631.8494856149991,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,1,13,10,,,,,,,,632.3502050829993,632.3502050829993,632.3502050829993,632.3502050829993,632.3502050829993,632.3502050829993,632.3502050829993,632.3502050829993,632.3502050829993,632.3502050829993,l,1.2545428020002873,1,67,0,633.6347000400001,635.136311323,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,2,14,4,,,,,,,,635.6368221969988,635.6368221969988,635.6368221969988,635.6368221969988,635.6368221969988,635.6368221969988,635.6368221969988,635.6368221969988,635.6368221969988,635.6368221969988,a,2.520922518999214,1,68,0,638.1897738219996,639.6917112179999,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,3,15,1,,,,,,,,640.1921134669992,640.1921134669992,640.1921134669992,640.1921134669992,640.1921134669992,640.1921134669992,640.1921134669992,640.1921134669992,640.1921134669992,640.1921134669992,a,1.1664700380006252,1,69,0,641.3768367949997,642.8784252149999,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,4,16,5,,,,,,,,643.3790507840004,643.3790507840004,643.3790507840004,643.3790507840004,643.3790507840004,643.3790507840004,643.3790507840004,643.3790507840004,643.3790507840004,643.3790507840004,l,1.7304086190015369,1,70,0,645.1309322670004,646.6326077550002,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,5,17,8,,,,,,,,647.1333190120004,647.1333190120004,647.1333190120004,647.1333190120004,647.1333190120004,647.1333190120004,647.1333190120004,647.1333190120004,647.1333190120004,647.1333190120004,a,1.5522943639989535,1,71,0,648.7183973539995,650.2198273679987,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,6,18,7,,,,,,,,650.7205002249993,650.7205002249993,650.7205002249993,650.7205002249993,650.7205002249993,650.7205002249993,650.7205002249993,650.7205002249993,650.7205002249993,650.7205002249993,l,0.6123177810004563,1,72,0,651.3544738069995,652.8560739919994,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,7,19,11,,,,,,,,653.3564984730001,653.3564984730001,653.3564984730001,653.3564984730001,653.3564984730001,653.3564984730001,653.3564984730001,653.3564984730001,653.3564984730001,653.3564984730001,l,1.8097134210001968,10,82,0,655.1920398900002,656.6936742529997,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,8,20,2,,,,,,,,657.1942000580002,657.1942000580002,657.1942000580002,657.1942000580002,657.1942000580002,657.1942000580002,657.1942000580002,657.1942000580002,657.1942000580002,657.1942000580002,l,1.771266163999826,1,83,0,658.9961915469994,660.4980055449996,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,9,21,9,,,,,,,,660.9983126070001,660.9983126070001,660.9983126070001,660.9983126070001,660.9983126070001,660.9983126070001,660.9983126070001,660.9983126070001,660.9983126070001,660.9983126070001,a,1.319228219001161,1,84,0,662.3499907219993,663.8517273729994,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,10,22,0,,,,,,,,664.3522062119991,664.3522062119991,664.3522062119991,664.3522062119991,664.3522062119991,664.3522062119991,664.3522062119991,664.3522062119991,664.3522062119991,664.3522062119991,l,1.0366231780008093,10,94,0,665.4200780470001,666.9219136369993,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,11,23,3,,,,,,,,667.4222589299989,667.4222589299989,667.4222589299989,667.4222589299989,667.4222589299989,667.4222589299989,667.4222589299989,667.4222589299989,667.4222589299989,667.4222589299989,a,1.5590455410001596,10,104,0,669.0073219329988,670.5091786640005,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,2,0,24,10,,,,,,,,671.009517131999,671.009517131999,671.009517131999,671.009517131999,671.009517131999,671.009517131999,671.009517131999,671.009517131999,671.009517131999,671.009517131999,a,1.3400224719989637,10,114,0,672.3778379340001,673.879297563999,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,2,1,25,4,,,,,,,,674.3798172879997,674.3798172879997,674.3798172879997,674.3798172879997,674.3798172879997,674.3798172879997,674.3798172879997,674.3798172879997,674.3798172879997,674.3798172879997,l,0.6970219830000133,10,124,0,675.0971933839992,676.5988686399996,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,2,2,26,11,,,,,,,,677.0994208499997,677.0994208499997,677.0994208499997,677.0994208499997,677.0994208499997,677.0994208499997,677.0994208499997,677.0994208499997,677.0994208499997,677.0994208499997,l,1.5858014180012105,1,125,0,678.7179286930004,680.2196400640005,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,2,3,27,6,,,,,,,,680.7201494279998,680.7201494279998,680.7201494279998,680.7201494279998,680.7201494279998,680.7201494279998,680.7201494279998,680.7201494279998,680.7201494279998,680.7201494279998,a,0.988570098999844,1,126,0,681.7379881149991,683.2395437020004,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,2,4,28,9,,,,,,,,683.7402916219999,683.7402916219999,683.7402916219999,683.7402916219999,683.7402916219999,683.7402916219999,683.7402916219999,683.7402916219999,683.7402916219999,683.7402916219999,l,2.042379552998682,1,127,0,685.809073032,687.3106719730004,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,2,5,29,2,,,,,,,,687.8112499540002,687.8112499540002,687.8112499540002,687.8112499540002,687.8112499540002,687.8112499540002,687.8112499540002,687.8112499540002,687.8112499540002,687.8112499540002,l,0.8829354770005011,10,137,0,688.712120324999,690.2141891270003,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,2,6,30,7,,,,,,,,690.7144849699998,690.7144849699998,690.7144849699998,690.7144849699998,690.7144849699998,690.7144849699998,690.7144849699998,690.7144849699998,690.7144849699998,690.7144849699998,a,1.3473257730001933,1,138,0,692.0827580679997,693.5843608180003,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,2,7,31,3,,,,,,,,694.0847636239996,694.0847636239996,694.0847636239996,694.0847636239996,694.0847636239996,694.0847636239996,694.0847636239996,694.0847636239996,694.0847636239996,694.0847636239996,l,0.6184721530007664,1,139,0,694.7358692469988,696.2374268879994,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,2,8,32,5,,,,,,,,696.7377753500004,696.7377753500004,696.7377753500004,696.7377753500004,696.7377753500004,696.7377753500004,696.7377753500004,696.7377753500004,696.7377753500004,696.7377753500004,a,1.9639737540001079,1,140,0,698.7235221219998,700.2251183629996,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,2,9,33,0,,,,,,,,700.7257161839989,700.7257161839989,700.7257161839989,700.7257161839989,700.7257161839989,700.7257161839989,700.7257161839989,700.7257161839989,700.7257161839989,700.7257161839989,l,1.0871199519988295,1,141,0,701.8436858669993,703.3451097489997,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,2,10,34,1,,,,,,,,703.8456736119988,703.8456736119988,703.8456736119988,703.8456736119988,703.8456736119988,703.8456736119988,703.8456736119988,703.8456736119988,703.8456736119988,703.8456736119988,l,4.231964856999184,10,151,0,708.1003870799996,709.6019460240004,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
