LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,596.4928080889949,space,14.711284328994225,,,,,,,,,,,,,,,,,,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,0,0,4,,,,,,,,638.8900115040014,638.8900115040014,638.8900115040014,638.8900115040014,638.8900115040014,638.8900115040014,638.8900115040014,638.8900115040014,638.8900115040014,638.8900115040014,a,1.641955348997726,10,10,0,640.5581166589982,642.0596153189981,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,1,1,11,,,,,,,,642.5601949980046,642.5601949980046,642.5601949980046,642.5601949980046,642.5601949980046,642.5601949980046,642.5601949980046,642.5601949980046,642.5601949980046,642.5601949980046,l,1.3869438120018458,1,11,0,643.9787149699987,645.4802363350027,645.4802363350027,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,2,2,10,,,,,,,,645.9805551690079,645.9805551690079,645.9805551690079,645.9805551690079,645.9805551690079,645.9805551690079,645.9805551690079,645.9805551690079,645.9805551690079,645.9805551690079,a,0.6013816949998727,1,12,0,646.6145759719948,648.116226779006,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,3,3,0,,,,,,,,648.6170604180079,648.6170604180079,648.6170604180079,648.6170604180079,648.6170604180079,648.6170604180079,648.6170604180079,648.6170604180079,648.6170604180079,648.6170604180079,l,0.8025420090125408,10,22,0,649.4511152549967,650.9528567380039,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,4,4,1,,,,,,,,651.4533990790078,651.4533990790078,651.4533990790078,651.4533990790078,651.4533990790078,651.4533990790078,651.4533990790078,651.4533990790078,651.4533990790078,651.4533990790078,l,1.430696320006973,1,23,0,652.9050225789979,654.4066214320046,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,5,5,8,,,,,,,,654.9072959089972,654.9072959089972,654.9072959089972,654.9072959089972,654.9072959089972,654.9072959089972,654.9072959089972,654.9072959089972,654.9072959089972,654.9072959089972,a,0.8247993999975733,10,33,0,655.7580911900004,657.259881979,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,6,6,9,,,,,,,,657.7605263150035,657.7605263150035,657.7605263150035,657.7605263150035,657.7605263150035,657.7605263150035,657.7605263150035,657.7605263150035,657.7605263150035,657.7605263150035,a,1.0853513839974767,10,43,0,658.878388630008,660.3797873129952,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,7,7,2,,,,,,,,660.8804273870046,660.8804273870046,660.8804273870046,660.8804273870046,660.8804273870046,660.8804273870046,660.8804273870046,660.8804273870046,660.8804273870046,660.8804273870046,l,0.8351552629901562,10,53,0,661.7480806030071,663.2495094470069,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,8,8,7,,,,,,,,663.7501645000011,663.7501645000011,663.7501645000011,663.7501645000011,663.7501645000011,663.7501645000011,663.7501645000011,663.7501645000011,663.7501645000011,663.7501645000011,l,0.46103676699567586,10,63,0,664.2343614300044,665.7357547029969,665.7357547029969,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
