participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac1.rt,target_resp_prac2.keys,target_resp_prac2.rt,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,alt,task,condition,target_resp.keys,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,target_resp.rt,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpectancy,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5,Q5_text,xRes,yRes
296086,2022-12-04_20h51.22.540,vts_reward_expectancy_bt,2022.2.4,Linux x86_64,60.04924038,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296086,2022-12-04_20h51.22.540,vts_reward_expectancy_bt,2022.2.4,Linux x86_64,60.04924038,Chrome,1366,768,space,16.3418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296086,2022-12-04_20h51.22.540,vts_reward_expectancy_bt,2022.2.4,Linux x86_64,60.04924038,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296086,2022-12-04_20h51.22.540,vts_reward_expectancy_bt,2022.2.4,Linux x86_64,60.04924038,Chrome,1366,768,,,l,5.1408,1,1,0,0,0,0,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296086,2022-12-04_20h51.22.540,vts_reward_expectancy_bt,2022.2.4,Linux x86_64,60.04924038,Chrome,1366,768,,,l,3.2204,1,2,0,0,1,1,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296086,2022-12-04_20h51.22.540,vts_reward_expectancy_bt,2022.2.4,Linux x86_64,60.04924038,Chrome,1366,768,,,a,8.7675,1,3,0,0,2,2,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296086,2022-12-04_20h51.22.540,vts_reward_expectancy_bt,2022.2.4,Linux x86_64,60.04924038,Chrome,1366,768,,,a,2.3072,1,4,0,0,3,3,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296086,2022-12-04_20h51.22.540,vts_reward_expectancy_bt,2022.2.4,Linux x86_64,60.04924038,Chrome,1366,768,,,l,2.0068,10,14,0,0,4,4,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296086,2022-12-04_20h51.22.540,vts_reward_expectancy_bt,2022.2.4,Linux x86_64,60.04924038,Chrome,1366,768,,,a,1.6417,10,24,0,0,5,5,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296086,2022-12-04_20h51.22.540,vts_reward_expectancy_bt,2022.2.4,Linux x86_64,60.04924038,Chrome,1366,768,,,a,4.3407,1,25,0,0,6,6,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296086,2022-12-04_20h51.22.540,vts_reward_expectancy_bt,2022.2.4,Linux x86_64,60.04924038,Chrome,1366,768,,,l,3.3634,10,35,0,0,7,7,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
