participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac1.rt,target_resp_prac2.keys,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,target_resp_prac2.rt,alt,task,condition,target_resp.keys,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,target_resp.rt,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpectancy,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5_text,Q5,xRes,yRes
297061,2022-11-15_22h04.47.402,vts_reward_expectancy_bt,2022.2.4,Win32,60.58403005,Chrome,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297061,2022-11-15_22h04.47.402,vts_reward_expectancy_bt,2022.2.4,Win32,60.58403005,Chrome,1536,864,space,13.2164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297061,2022-11-15_22h04.47.402,vts_reward_expectancy_bt,2022.2.4,Win32,60.58403005,Chrome,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297061,2022-11-15_22h04.47.402,vts_reward_expectancy_bt,2022.2.4,Win32,60.58403005,Chrome,1536,864,,,a,2.5638,1,1,0,0,0,0,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297061,2022-11-15_22h04.47.402,vts_reward_expectancy_bt,2022.2.4,Win32,60.58403005,Chrome,1536,864,,,a,1.8389,1,2,0,0,1,1,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297061,2022-11-15_22h04.47.402,vts_reward_expectancy_bt,2022.2.4,Win32,60.58403005,Chrome,1536,864,,,l,3.143,10,12,0,0,2,2,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297061,2022-11-15_22h04.47.402,vts_reward_expectancy_bt,2022.2.4,Win32,60.58403005,Chrome,1536,864,,,a,1.2048,10,22,0,0,3,3,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297061,2022-11-15_22h04.47.402,vts_reward_expectancy_bt,2022.2.4,Win32,60.58403005,Chrome,1536,864,,,l,1.134,1,23,0,0,4,4,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297061,2022-11-15_22h04.47.402,vts_reward_expectancy_bt,2022.2.4,Win32,60.58403005,Chrome,1536,864,,,a,0.798,1,24,0,0,5,5,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297061,2022-11-15_22h04.47.402,vts_reward_expectancy_bt,2022.2.4,Win32,60.58403005,Chrome,1536,864,,,l,1.5782,10,34,0,0,6,6,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
