participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac2.keys,target_resp_prac2.rt,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpectancy,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5,Q5_text,xRes,yRes
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,space,56.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,0.724,10,10,0,0,0,0,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.713,1,11,0,0,1,1,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.655,10,21,0,0,2,2,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,0.678,10,31,0,0,3,3,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.531,1,32,0,0,4,4,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,0.599,10,42,0,0,5,5,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.515,10,52,0,0,6,6,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,0.602,1,53,0,0,7,7,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,0.918,1,54,0,0,8,8,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,2.366,10,64,0,0,9,9,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,1.174,1,65,0,0,10,10,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,1.919,10,75,0,0,11,11,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,1.097,1,76,0,1,0,12,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,1.134,10,86,0,1,1,13,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,1.037,10,96,0,1,2,14,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,1.381,10,106,0,1,3,15,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,0.713,1,107,0,1,4,16,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.652,1,108,0,1,5,17,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
