participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID
297628,2022-11-14_12h14.50,vts_reward_expectancy_bt,2022.2.4,MacIntel,55.55555556,Safari,1280,800,,,,,,,,,,,,,,,,,,,,,,
297628,2022-11-14_12h14.50,vts_reward_expectancy_bt,2022.2.4,MacIntel,55.55555556,Safari,1280,800,space,25.963,,,,,,,,,,,,,,,,,,,,
297628,2022-11-14_12h14.50,vts_reward_expectancy_bt,2022.2.4,MacIntel,55.55555556,Safari,1280,800,,,,,,,,,,,,,,,,,,,,,,
297628,2022-11-14_12h14.50,vts_reward_expectancy_bt,2022.2.4,MacIntel,55.55555556,Safari,1280,800,,,l,1.286,10,10,0,0,0,0,8,1,0,0,1,0,0,0,0,1,hexagon,star
297628,2022-11-14_12h14.50,vts_reward_expectancy_bt,2022.2.4,MacIntel,55.55555556,Safari,1280,800,,,a,0.68,10,20,0,0,1,1,10,1,0,0,0,1,0,1,0,0,star ,circle
297628,2022-11-14_12h14.50,vts_reward_expectancy_bt,2022.2.4,MacIntel,55.55555556,Safari,1280,800,,,a,1.17,1,21,0,0,2,2,3,1,0,1,0,0,1,0,0,0,circle,triangle
297628,2022-11-14_12h14.50,vts_reward_expectancy_bt,2022.2.4,MacIntel,55.55555556,Safari,1280,800,,,l,0.738,10,31,0,0,3,3,7,1,0,0,1,0,0,1,0,0,hexagon,circle
297628,2022-11-14_12h14.50,vts_reward_expectancy_bt,2022.2.4,MacIntel,55.55555556,Safari,1280,800,,,l,0.518,10,41,0,0,4,4,2,1,1,0,0,0,0,0,0,1,triangle,star
297628,2022-11-14_12h14.50,vts_reward_expectancy_bt,2022.2.4,MacIntel,55.55555556,Safari,1280,800,,,a,0.704,1,42,0,0,5,5,1,1,1,0,0,0,0,0,1,0,triangle,hexagon
297628,2022-11-14_12h14.50,vts_reward_expectancy_bt,2022.2.4,MacIntel,55.55555556,Safari,1280,800,,,a,1.637,10,52,0,0,6,6,4,1,0,1,0,0,0,0,1,0,circle,hexagon
297628,2022-11-14_12h14.50,vts_reward_expectancy_bt,2022.2.4,MacIntel,55.55555556,Safari,1280,800,,,l,0.553,1,53,0,0,7,7,5,1,0,1,0,0,0,0,0,1,circle,star
297628,2022-11-14_12h14.50,vts_reward_expectancy_bt,2022.2.4,MacIntel,55.55555556,Safari,1280,800,,,a,0.538,1,54,0,0,8,8,11,1,0,0,0,1,0,0,1,0,star,hexagon
297628,2022-11-14_12h14.50,vts_reward_expectancy_bt,2022.2.4,MacIntel,55.55555556,Safari,1280,800,,,l,0.386,1,55,0,0,9,9,6,1,0,0,1,0,1,0,0,0,hexagon,triangle
297628,2022-11-14_12h14.50,vts_reward_expectancy_bt,2022.2.4,MacIntel,55.55555556,Safari,1280,800,,,l,0.296,1,56,0,0,10,10,0,1,1,0,0,0,0,1,0,0,triangle,circle
297628,2022-11-14_12h14.50,vts_reward_expectancy_bt,2022.2.4,MacIntel,55.55555556,Safari,1280,800,,,a,0.386,10,66,0,0,11,11,9,1,0,0,0,1,1,0,0,0,star,triangle
