participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID
293953,2022-09-21_20h46.37.959,vts_reward_expectancy,2022.2.4,MacIntel,4.694835681,Safari,1512,982,,,,,,,,,,,,,,,,,,,,,,
293953,2022-09-21_20h46.37.959,vts_reward_expectancy,2022.2.4,MacIntel,4.694835681,Safari,1512,982,space,1.429,,,,,,,,,,,,,,,,,,,,
293953,2022-09-21_20h46.37.959,vts_reward_expectancy,2022.2.4,MacIntel,4.694835681,Safari,1512,982,,,,,,,,,,,,,,,,,,,,,,
293953,2022-09-21_20h46.37.959,vts_reward_expectancy,2022.2.4,MacIntel,4.694835681,Safari,1512,982,,,a,1.633,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,triangle,hexagon
293953,2022-09-21_20h46.37.959,vts_reward_expectancy,2022.2.4,MacIntel,4.694835681,Safari,1512,982,,,l,0.723,1,2,0,0,1,1,0,1,1,0,0,0,0,1,0,0,triangle,circle
293953,2022-09-21_20h46.37.959,vts_reward_expectancy,2022.2.4,MacIntel,4.694835681,Safari,1512,982,,,l,0.941,1,3,0,0,2,2,5,1,0,1,0,0,0,0,0,1,circle,star
293953,2022-09-21_20h46.37.959,vts_reward_expectancy,2022.2.4,MacIntel,4.694835681,Safari,1512,982,,,a,0.669,1,4,0,0,3,3,3,1,0,1,0,0,1,0,0,0,circle,triangle
293953,2022-09-21_20h46.37.959,vts_reward_expectancy,2022.2.4,MacIntel,4.694835681,Safari,1512,982,,,a,0.783,10,14,0,0,4,4,8,1,0,0,1,0,0,0,0,1,hexagon,star
293953,2022-09-21_20h46.37.959,vts_reward_expectancy,2022.2.4,MacIntel,4.694835681,Safari,1512,982,,,l,1.149,10,24,0,0,5,5,6,1,0,0,1,0,1,0,0,0,hexagon,triangle
293953,2022-09-21_20h46.37.959,vts_reward_expectancy,2022.2.4,MacIntel,4.694835681,Safari,1512,982,,,a,0.73,10,34,0,0,6,6,4,1,0,1,0,0,0,0,1,0,circle,hexagon
293953,2022-09-21_20h46.37.959,vts_reward_expectancy,2022.2.4,MacIntel,4.694835681,Safari,1512,982,,,l,0.619,10,44,0,0,7,7,10,1,0,0,0,1,0,1,0,0,star ,circle
293953,2022-09-21_20h46.37.959,vts_reward_expectancy,2022.2.4,MacIntel,4.694835681,Safari,1512,982,,,a,0.602,10,54,0,0,8,8,2,1,1,0,0,0,0,0,0,1,triangle,star
293953,2022-09-21_20h46.37.959,vts_reward_expectancy,2022.2.4,MacIntel,4.694835681,Safari,1512,982,,,l,0.657,1,55,0,0,9,9,7,1,0,0,1,0,0,1,0,0,hexagon,circle
293953,2022-09-21_20h46.37.959,vts_reward_expectancy,2022.2.4,MacIntel,4.694835681,Safari,1512,982,,,l,0.549,10,65,0,0,10,10,9,1,0,0,0,1,1,0,0,0,star,triangle
293953,2022-09-21_20h46.37.959,vts_reward_expectancy,2022.2.4,MacIntel,4.694835681,Safari,1512,982,,,l,0.688,1,66,0,0,11,11,11,1,0,0,0,1,0,0,1,0,star,hexagon
293953,2022-09-21_20h46.37.959,vts_reward_expectancy,2022.2.4,MacIntel,4.694835681,Safari,1512,982,,,l,1.098,10,76,0,1,0,12,6,1,0,0,1,0,1,0,0,0,hexagon,triangle
293953,2022-09-21_20h46.37.959,vts_reward_expectancy,2022.2.4,MacIntel,4.694835681,Safari,1512,982,,,a,0.904,10,86,0,1,1,13,4,1,0,1,0,0,0,0,1,0,circle,hexagon
293953,2022-09-21_20h46.37.959,vts_reward_expectancy,2022.2.4,MacIntel,4.694835681,Safari,1512,982,,,a,0.706,10,96,0,1,2,14,2,1,1,0,0,0,0,0,0,1,triangle,star
293953,2022-09-21_20h46.37.959,vts_reward_expectancy,2022.2.4,MacIntel,4.694835681,Safari,1512,982,,,l,1.11,1,97,0,1,3,15,8,1,0,0,1,0,0,0,0,1,hexagon,star
293953,2022-09-21_20h46.37.959,vts_reward_expectancy,2022.2.4,MacIntel,4.694835681,Safari,1512,982,,,a,0.579,10,107,0,1,4,16,5,1,0,1,0,0,0,0,0,1,circle,star
293953,2022-09-21_20h46.37.959,vts_reward_expectancy,2022.2.4,MacIntel,4.694835681,Safari,1512,982,,,l,0.751,10,117,0,1,5,17,10,1,0,0,0,1,0,1,0,0,star ,circle
293953,2022-09-21_20h46.37.959,vts_reward_expectancy,2022.2.4,MacIntel,4.694835681,Safari,1512,982,,,a,1.048,1,118,0,1,6,18,1,1,1,0,0,0,0,0,1,0,triangle,hexagon
293953,2022-09-21_20h46.37.959,vts_reward_expectancy,2022.2.4,MacIntel,4.694835681,Safari,1512,982,,,l,1.015,1,119,0,1,7,19,11,1,0,0,0,1,0,0,1,0,star,hexagon
293953,2022-09-21_20h46.37.959,vts_reward_expectancy,2022.2.4,MacIntel,4.694835681,Safari,1512,982,,,a,1.192,10,129,0,1,8,20,3,1,0,1,0,0,1,0,0,0,circle,triangle
293953,2022-09-21_20h46.37.959,vts_reward_expectancy,2022.2.4,MacIntel,4.694835681,Safari,1512,982,,,l,0.842,10,139,0,1,9,21,9,1,0,0,0,1,1,0,0,0,star,triangle
293953,2022-09-21_20h46.37.959,vts_reward_expectancy,2022.2.4,MacIntel,4.694835681,Safari,1512,982,,,a,0.601,1,140,0,1,10,22,0,1,1,0,0,0,0,1,0,0,triangle,circle
