participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac2.keys,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,target_resp_prac2.rt,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpect,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5,Q5_text,xRes,yRes
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,space,13.0932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,,,l,3.6288,10,10,0,0,0,0,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,,,l,3.1646,10,20,0,0,1,1,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,,,a,1.3488,10,30,0,0,2,2,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,,,a,1.7419,10,40,0,0,3,3,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,,,l,1.1346,10,50,0,0,4,4,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,,,a,1.8102,10,60,0,0,5,5,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,,,l,1.134,1,61,0,0,6,6,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,,,a,2.4231,1,62,0,0,7,7,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,,,a,1.4687,10,72,0,0,8,8,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,,,l,0.6995,1,73,0,0,9,9,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,,,a,1.1693,1,74,0,0,10,10,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
