participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac1.rt,target_resp_prac2.keys,target_resp_prac2.rt,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpect,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5,Q5_text,xRes,yRes
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,space,18.761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,a,0.884,1,1,0,0,0,0,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,a,1.139,1,2,0,0,1,1,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,l,1.638,1,3,0,0,2,2,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,l,1.137,1,4,0,0,3,3,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,a,1.323,1,5,0,0,4,4,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,l,1.983,1,6,0,0,5,5,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,l,1.129,1,7,0,0,6,6,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,l,1.022,1,8,0,0,7,7,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,a,1.061,10,18,0,0,8,8,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,a,1.328,10,28,0,0,9,9,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,a,1.176,10,38,0,0,10,10,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
