participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac2.keys,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,target_resp_prac2.rt,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpect,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5_text,Q5,xRes,yRes
296377,2022-10-02_11h43.29.056,vts_reward_expectancy,2022.2.4,MacIntel,59.99160118,Chrome,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296377,2022-10-02_11h43.29.056,vts_reward_expectancy,2022.2.4,MacIntel,59.99160118,Chrome,1440,900,space,8.5505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296377,2022-10-02_11h43.29.056,vts_reward_expectancy,2022.2.4,MacIntel,59.99160118,Chrome,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296377,2022-10-02_11h43.29.056,vts_reward_expectancy,2022.2.4,MacIntel,59.99160118,Chrome,1440,900,,,l,2.5096,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296377,2022-10-02_11h43.29.056,vts_reward_expectancy,2022.2.4,MacIntel,59.99160118,Chrome,1440,900,,,l,1.3478,1,2,0,0,1,1,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296377,2022-10-02_11h43.29.056,vts_reward_expectancy,2022.2.4,MacIntel,59.99160118,Chrome,1440,900,,,l,0.8101,1,3,0,0,2,2,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296377,2022-10-02_11h43.29.056,vts_reward_expectancy,2022.2.4,MacIntel,59.99160118,Chrome,1440,900,,,a,0.898,1,4,0,0,3,3,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296377,2022-10-02_11h43.29.056,vts_reward_expectancy,2022.2.4,MacIntel,59.99160118,Chrome,1440,900,,,l,3.2982,1,5,0,0,4,4,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296377,2022-10-02_11h43.29.056,vts_reward_expectancy,2022.2.4,MacIntel,59.99160118,Chrome,1440,900,,,l,1.0525,10,15,0,0,5,5,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296377,2022-10-02_11h43.29.056,vts_reward_expectancy,2022.2.4,MacIntel,59.99160118,Chrome,1440,900,,,l,0.8162,1,16,0,0,6,6,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296377,2022-10-02_11h43.29.056,vts_reward_expectancy,2022.2.4,MacIntel,59.99160118,Chrome,1440,900,,,a,1.336,10,26,0,0,7,7,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296377,2022-10-02_11h43.29.056,vts_reward_expectancy,2022.2.4,MacIntel,59.99160118,Chrome,1440,900,,,l,1.3442,10,36,0,0,8,8,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296377,2022-10-02_11h43.29.056,vts_reward_expectancy,2022.2.4,MacIntel,59.99160118,Chrome,1440,900,,,a,1.13,1,37,0,0,9,9,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296377,2022-10-02_11h43.29.056,vts_reward_expectancy,2022.2.4,MacIntel,59.99160118,Chrome,1440,900,,,l,0.7042,1,38,0,0,10,10,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296377,2022-10-02_11h43.29.056,vts_reward_expectancy,2022.2.4,MacIntel,59.99160118,Chrome,1440,900,,,l,0.715,1,39,0,0,11,11,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296377,2022-10-02_11h43.29.056,vts_reward_expectancy,2022.2.4,MacIntel,59.99160118,Chrome,1440,900,,,a,1.7784,1,40,0,1,0,12,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296377,2022-10-02_11h43.29.056,vts_reward_expectancy,2022.2.4,MacIntel,59.99160118,Chrome,1440,900,,,l,0.9645,1,41,0,1,1,13,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296377,2022-10-02_11h43.29.056,vts_reward_expectancy,2022.2.4,MacIntel,59.99160118,Chrome,1440,900,,,l,0.6813,10,51,0,1,2,14,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296377,2022-10-02_11h43.29.056,vts_reward_expectancy,2022.2.4,MacIntel,59.99160118,Chrome,1440,900,,,a,1.0974,10,61,0,1,3,15,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296377,2022-10-02_11h43.29.056,vts_reward_expectancy,2022.2.4,MacIntel,59.99160118,Chrome,1440,900,,,l,0.5958,10,71,0,1,4,16,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
