participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac1.rt,target_resp_prac2.keys,target_resp_prac2.rt,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,alt,task,condition,target_resp.keys,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,target_resp.rt,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpect,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2_text,Q5_text,xRes,yRes
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,space,3.1084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,a,1.7047,10,10,0,0,0,0,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,l,1.6253,1,11,0,0,1,1,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,a,0.433,1,12,0,0,2,2,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,a,0.303,10,22,0,0,3,3,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,a,0.5877,1,23,0,0,4,4,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,a,0.6423,1,24,0,0,5,5,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,l,0.487,10,34,0,0,6,6,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,a,0.6057,10,44,0,0,7,7,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,l,0.3389,10,54,0,0,8,8,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,a,0.3161,1,55,0,0,9,9,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,a,1.1023,1,56,0,0,10,10,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,l,0.8316,1,57,0,0,11,11,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,l,0.4427,1,58,0,1,0,12,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,a,0.8245,1,59,0,1,1,13,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
