participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac2.keys,target_resp_prac2.rt,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpect,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5_text,Q5,xRes,yRes
297667,2022-10-06_19h42.00.829,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1510,806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297667,2022-10-06_19h42.00.829,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1510,806,space,16.4854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297667,2022-10-06_19h42.00.829,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1510,806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297667,2022-10-06_19h42.00.829,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1510,806,,,a,0.999,10,10,0,0,0,0,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297667,2022-10-06_19h42.00.829,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1510,806,,,a,1.1117,1,11,0,0,1,1,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297667,2022-10-06_19h42.00.829,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1510,806,,,l,0.9339,1,12,0,0,2,2,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297667,2022-10-06_19h42.00.829,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1510,806,,,l,1.2514,10,22,0,0,3,3,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297667,2022-10-06_19h42.00.829,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1510,806,,,l,1.4284,1,23,0,0,4,4,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297667,2022-10-06_19h42.00.829,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1510,806,,,l,1.6667,10,33,0,0,5,5,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297667,2022-10-06_19h42.00.829,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1510,806,,,a,1.2494,10,43,0,0,6,6,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
